,datetime,Date,Time,Temp,rain,Day of the Week,School Holiday,Public Holiday,Weekend,type_of_day
0,2024-07-20 10:00:00,2024-07-20,10:00:00,30,0,Saturday,0,0,1,5
1,2024-07-20 10:01:00,2024-07-20,10:01:00,30,0,Saturday,0,0,1,5
2,2024-07-20 10:02:00,2024-07-20,10:02:00,30,0,Saturday,0,0,1,5
3,2024-07-20 10:03:00,2024-07-20,10:03:00,30,0,Saturday,0,0,1,5
4,2024-07-20 10:04:00,2024-07-20,10:04:00,30,0,Saturday,0,0,1,5
5,2024-07-20 10:05:00,2024-07-20,10:05:00,30,0,Saturday,0,0,1,5
6,2024-07-20 10:06:00,2024-07-20,10:06:00,30,0,Saturday,0,0,1,5
7,2024-07-20 10:07:00,2024-07-20,10:07:00,30,0,Saturday,0,0,1,5
8,2024-07-20 10:08:00,2024-07-20,10:08:00,30,0,Saturday,0,0,1,5
9,2024-07-20 10:09:00,2024-07-20,10:09:00,30,0,Saturday,0,0,1,5
10,2024-07-20 10:10:00,2024-07-20,10:10:00,30,0,Saturday,0,0,1,5
11,2024-07-20 10:11:00,2024-07-20,10:11:00,30,0,Saturday,0,0,1,5
12,2024-07-20 10:12:00,2024-07-20,10:12:00,30,0,Saturday,0,0,1,5
13,2024-07-20 10:13:00,2024-07-20,10:13:00,30,0,Saturday,0,0,1,5
14,2024-07-20 10:14:00,2024-07-20,10:14:00,30,0,Saturday,0,0,1,5
15,2024-07-20 10:15:00,2024-07-20,10:15:00,30,0,Saturday,0,0,1,5
16,2024-07-20 10:16:00,2024-07-20,10:16:00,30,0,Saturday,0,0,1,5
17,2024-07-20 10:17:00,2024-07-20,10:17:00,30,0,Saturday,0,0,1,5
18,2024-07-20 10:18:00,2024-07-20,10:18:00,30,0,Saturday,0,0,1,5
19,2024-07-20 10:19:00,2024-07-20,10:19:00,30,0,Saturday,0,0,1,5
20,2024-07-20 10:20:00,2024-07-20,10:20:00,30,0,Saturday,0,0,1,5
21,2024-07-20 10:21:00,2024-07-20,10:21:00,30,0,Saturday,0,0,1,5
22,2024-07-20 10:22:00,2024-07-20,10:22:00,30,0,Saturday,0,0,1,5
23,2024-07-20 10:23:00,2024-07-20,10:23:00,30,0,Saturday,0,0,1,5
24,2024-07-20 10:24:00,2024-07-20,10:24:00,30,0,Saturday,0,0,1,5
25,2024-07-20 10:25:00,2024-07-20,10:25:00,30,0,Saturday,0,0,1,5
26,2024-07-20 10:26:00,2024-07-20,10:26:00,30,0,Saturday,0,0,1,5
27,2024-07-20 10:27:00,2024-07-20,10:27:00,30,0,Saturday,0,0,1,5
28,2024-07-20 10:28:00,2024-07-20,10:28:00,30,0,Saturday,0,0,1,5
29,2024-07-20 10:29:00,2024-07-20,10:29:00,30,0,Saturday,0,0,1,5
30,2024-07-20 10:30:00,2024-07-20,10:30:00,30,0,Saturday,0,0,1,5
31,2024-07-20 10:31:00,2024-07-20,10:31:00,30,0,Saturday,0,0,1,5
