source,target,nodes,distance
Accelerator,Battlestar Galactica: CYLON,"['Accelerator', 'Battlestar Galactica: CYLON']",4
Accelerator,Battlestar Galactica: HUMAN,"['Accelerator', 'Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN']",5
Accelerator,Canopy Flyer,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe', 'Cairo Market', 'Discovery Food Court', 'Restroom 5', 'Canopy Flyer']",30
Accelerator,Dino Soarin',"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe', 'Cairo Market', 'Discovery Food Court', 'Jurassic Park Rapids Adventure', ""Dino Soarin'""]",30
Accelerator,Donkey Live,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks', ""Friar's Good Food"", 'Shrek 4D Adventure', 'Enchanted Airways', 'Donkey Live']",26
Accelerator,Enchanted Airways,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks', ""Friar's Good Food"", 'Shrek 4D Adventure', 'Enchanted Airways']",22
Accelerator,Fortune Favours The Furry,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks', ""Friar's Good Food"", 'Shrek 4D Adventure', 'Enchanted Airways', 'Donkey Live', 'Fortune Favours The Furry']",29
Accelerator,Jurassic Park Rapids Adventure,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe', 'Cairo Market', 'Discovery Food Court', 'Jurassic Park Rapids Adventure']",27
Accelerator,Lights Camera Action Hosted by Steven Spielberg,"['Accelerator', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase', 'Lights Camera Action Hosted by Steven Spielberg']",11
Accelerator,Magic Potion Spin,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks', ""Friar's Good Food"", 'Shrek 4D Adventure', 'Magic Potion Spin']",22
Accelerator,Puss In Boots Giant Journey,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks', ""Friar's Good Food"", 'Shrek 4D Adventure', 'Magic Potion Spin', 'Puss In Boots Giant Journey']",24
Accelerator,Revenge of the Mummy,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy']",12
Accelerator,Sesame Street Spaghetti Space Chase,"['Accelerator', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase']",9
Accelerator,Shrek 4D Adventure,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks', ""Friar's Good Food"", 'Shrek 4D Adventure']",20
Accelerator,TRANSFORMERS The Ride: The Ultimate 3D Battle,"['Accelerator', 'TRANSFORMERS The Ride: The Ultimate 3D Battle']",3
Accelerator,Treasure Hunters,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Treasure Hunters']",16
Accelerator,Discovery Food Court,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe', 'Cairo Market', 'Discovery Food Court']",22
Accelerator,Fossil Fuels,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe', 'Cairo Market', 'Discovery Food Court', 'Jurassic Park Rapids Adventure', ""Dino Soarin'"", 'Fossil Fuels']",35
Accelerator,Friar's Good Food,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks', ""Friar's Good Food""]",15
Accelerator,Goldilocks,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks']",14
Accelerator,KT's Grill,"['Accelerator', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase', 'Lights Camera Action Hosted by Steven Spielberg', ""Mel's Drive-In"", 'Restroom 1', ""KT's Grill""]",15
Accelerator,Loui's NY Pizza Parlor,"['Accelerator', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", ""Loui's NY Pizza Parlor""]",8
Accelerator,Mel's Drive-In,"['Accelerator', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase', 'Lights Camera Action Hosted by Steven Spielberg', ""Mel's Drive-In""]",13
Accelerator,Oasis Spice Cafe,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe']",17
Accelerator,StarBot Cafe,"['Accelerator', 'Restroom 3', 'StarBot Cafe']",5
Accelerator,Starbucks,"['Accelerator', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase', 'Lights Camera Action Hosted by Steven Spielberg', ""Mel's Drive-In"", 'Minion Mart', 'Starbucks']",18
Accelerator,Cairo Market,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe', 'Cairo Market']",19
Accelerator,Frozen Fuel,"['Accelerator', 'Restroom 3', 'StarBot Cafe', 'Frozen Fuel']",8
Accelerator,Galactic Treats,"['Accelerator', 'Restroom 3', 'Galactic Treats']",6
Accelerator,Jungle Bites,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe', 'Cairo Market', 'Discovery Food Court', 'Jungle Bites']",25
Accelerator,Mariner's Market,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe', 'Cairo Market', 'Discovery Food Court', ""Mariner's Market""]",24
Accelerator,Pharaoh's Dessert Oasis,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Restroom 4', ""Pharaoh's Dessert Oasis""]",20
Accelerator,Pops! Popcorn Delight,"['Accelerator', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase', 'Lights Camera Action Hosted by Steven Spielberg', ""Mel's Drive-In"", 'Minion Mart', 'Pops! Popcorn Delight']",19
Accelerator,Star Snacks,"['Accelerator', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase', 'Lights Camera Action Hosted by Steven Spielberg', ""Mel's Drive-In"", 'Restroom 1', 'Star Snacks']",16
Accelerator,Big Bird's Emporium,"['Accelerator', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium""]",5
Accelerator,Candylicious,"['Accelerator', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase', 'Lights Camera Action Hosted by Steven Spielberg', ""Mel's Drive-In"", 'Minion Mart', 'Starbucks', 'Candylicious']",19
Accelerator,Carter's Curiosities,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Restroom 4', ""Pharaoh's Dessert Oasis"", ""Carter's Curiosities""]",24
Accelerator,Fairy Godmother's Potion Shop,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks', ""Fairy Godmother's Potion Shop""]",16
Accelerator,Hello Kitty Studio,"['Accelerator', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase', 'Lights Camera Action Hosted by Steven Spielberg', ""Mel's Drive-In"", 'Hello Kitty Studio']",18
Accelerator,Minion Mart,"['Accelerator', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase', 'Lights Camera Action Hosted by Steven Spielberg', ""Mel's Drive-In"", 'Minion Mart']",17
Accelerator,That's a Wrap!,"['Accelerator', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase', 'Lights Camera Action Hosted by Steven Spielberg', ""Mel's Drive-In"", 'Minion Mart', 'Starbucks', 'Candylicious', ""That's a Wrap!""]",20
Accelerator,The Dino-Store,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe', 'Cairo Market', 'Discovery Food Court', 'Jurassic Park Rapids Adventure', ""Dino Soarin'"", 'Restroom 6', 'The Dino-Store']",39
Accelerator,The Sci-Fi Emporium,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'The Sci-Fi Emporium']",8
Accelerator,UNIVRS,"['Accelerator', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase', 'Lights Camera Action Hosted by Steven Spielberg', ""Mel's Drive-In"", 'UNIVRS']",16
Accelerator,Universal Studios Store,"['Accelerator', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase', 'Lights Camera Action Hosted by Steven Spielberg', ""Mel's Drive-In"", 'Restroom 1', 'Entrance', 'Universal Studios Store']",17
Accelerator,Restroom 1,"['Accelerator', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase', 'Lights Camera Action Hosted by Steven Spielberg', ""Mel's Drive-In"", 'Restroom 1']",14
Accelerator,Restroom 2,"['Accelerator', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Restroom 2']",9
Accelerator,Restroom 3,"['Accelerator', 'Restroom 3']",2
Accelerator,Restroom 4,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Restroom 4']",15
Accelerator,Restroom 5,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe', 'Cairo Market', 'Discovery Food Court', 'Restroom 5']",25
Accelerator,Restroom 6,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe', 'Cairo Market', 'Discovery Food Court', 'Jurassic Park Rapids Adventure', ""Dino Soarin'"", 'Restroom 6']",33
Accelerator,Restroom 7,"['Accelerator', 'Restroom 3', 'Galactic Treats', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks', 'Restroom 7']",17
Battlestar Galactica: CYLON,Accelerator,"['Battlestar Galactica: CYLON', 'Accelerator']",4
Battlestar Galactica: CYLON,Battlestar Galactica: HUMAN,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN']",1
Battlestar Galactica: CYLON,Canopy Flyer,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe', 'Cairo Market', 'Discovery Food Court', 'Restroom 5', 'Canopy Flyer']",30
Battlestar Galactica: CYLON,Dino Soarin',"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe', 'Cairo Market', 'Discovery Food Court', 'Jurassic Park Rapids Adventure', ""Dino Soarin'""]",30
Battlestar Galactica: CYLON,Donkey Live,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks', ""Friar's Good Food"", 'Shrek 4D Adventure', 'Enchanted Airways', 'Donkey Live']",26
Battlestar Galactica: CYLON,Enchanted Airways,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks', ""Friar's Good Food"", 'Shrek 4D Adventure', 'Enchanted Airways']",22
Battlestar Galactica: CYLON,Fortune Favours The Furry,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks', ""Friar's Good Food"", 'Shrek 4D Adventure', 'Enchanted Airways', 'Donkey Live', 'Fortune Favours The Furry']",29
Battlestar Galactica: CYLON,Jurassic Park Rapids Adventure,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe', 'Cairo Market', 'Discovery Food Court', 'Jurassic Park Rapids Adventure']",27
Battlestar Galactica: CYLON,Lights Camera Action Hosted by Steven Spielberg,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase', 'Lights Camera Action Hosted by Steven Spielberg']",14
Battlestar Galactica: CYLON,Magic Potion Spin,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks', ""Friar's Good Food"", 'Shrek 4D Adventure', 'Magic Potion Spin']",22
Battlestar Galactica: CYLON,Puss In Boots Giant Journey,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks', ""Friar's Good Food"", 'Shrek 4D Adventure', 'Magic Potion Spin', 'Puss In Boots Giant Journey']",24
Battlestar Galactica: CYLON,Revenge of the Mummy,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy']",12
Battlestar Galactica: CYLON,Sesame Street Spaghetti Space Chase,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase']",12
Battlestar Galactica: CYLON,Shrek 4D Adventure,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks', ""Friar's Good Food"", 'Shrek 4D Adventure']",20
Battlestar Galactica: CYLON,TRANSFORMERS The Ride: The Ultimate 3D Battle,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'TRANSFORMERS The Ride: The Ultimate 3D Battle']",6
Battlestar Galactica: CYLON,Treasure Hunters,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Treasure Hunters']",16
Battlestar Galactica: CYLON,Discovery Food Court,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe', 'Cairo Market', 'Discovery Food Court']",22
Battlestar Galactica: CYLON,Fossil Fuels,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe', 'Cairo Market', 'Discovery Food Court', 'Jurassic Park Rapids Adventure', ""Dino Soarin'"", 'Fossil Fuels']",35
Battlestar Galactica: CYLON,Friar's Good Food,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks', ""Friar's Good Food""]",15
Battlestar Galactica: CYLON,Goldilocks,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks']",14
Battlestar Galactica: CYLON,KT's Grill,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase', 'Lights Camera Action Hosted by Steven Spielberg', ""Mel's Drive-In"", 'Restroom 1', ""KT's Grill""]",18
Battlestar Galactica: CYLON,Loui's NY Pizza Parlor,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", ""Loui's NY Pizza Parlor""]",11
Battlestar Galactica: CYLON,Mel's Drive-In,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase', 'Lights Camera Action Hosted by Steven Spielberg', ""Mel's Drive-In""]",16
Battlestar Galactica: CYLON,Oasis Spice Cafe,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe']",17
Battlestar Galactica: CYLON,StarBot Cafe,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Restroom 3', 'StarBot Cafe']",9
Battlestar Galactica: CYLON,Starbucks,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase', 'Lights Camera Action Hosted by Steven Spielberg', ""Mel's Drive-In"", 'Minion Mart', 'Starbucks']",21
Battlestar Galactica: CYLON,Cairo Market,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe', 'Cairo Market']",19
Battlestar Galactica: CYLON,Frozen Fuel,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Frozen Fuel']",7
Battlestar Galactica: CYLON,Galactic Treats,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Galactic Treats']",9
Battlestar Galactica: CYLON,Jungle Bites,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe', 'Cairo Market', 'Discovery Food Court', 'Jungle Bites']",25
Battlestar Galactica: CYLON,Mariner's Market,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe', 'Cairo Market', 'Discovery Food Court', ""Mariner's Market""]",24
Battlestar Galactica: CYLON,Pharaoh's Dessert Oasis,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Restroom 4', ""Pharaoh's Dessert Oasis""]",20
Battlestar Galactica: CYLON,Pops! Popcorn Delight,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase', 'Lights Camera Action Hosted by Steven Spielberg', ""Mel's Drive-In"", 'Minion Mart', 'Pops! Popcorn Delight']",22
Battlestar Galactica: CYLON,Star Snacks,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase', 'Lights Camera Action Hosted by Steven Spielberg', ""Mel's Drive-In"", 'Restroom 1', 'Star Snacks']",19
Battlestar Galactica: CYLON,Big Bird's Emporium,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium""]",8
Battlestar Galactica: CYLON,Candylicious,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase', 'Lights Camera Action Hosted by Steven Spielberg', ""Mel's Drive-In"", 'Minion Mart', 'Starbucks', 'Candylicious']",22
Battlestar Galactica: CYLON,Carter's Curiosities,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Restroom 4', ""Pharaoh's Dessert Oasis"", ""Carter's Curiosities""]",24
Battlestar Galactica: CYLON,Fairy Godmother's Potion Shop,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks', ""Fairy Godmother's Potion Shop""]",16
Battlestar Galactica: CYLON,Hello Kitty Studio,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase', 'Lights Camera Action Hosted by Steven Spielberg', ""Mel's Drive-In"", 'Hello Kitty Studio']",21
Battlestar Galactica: CYLON,Minion Mart,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase', 'Lights Camera Action Hosted by Steven Spielberg', ""Mel's Drive-In"", 'Minion Mart']",20
Battlestar Galactica: CYLON,That's a Wrap!,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase', 'Lights Camera Action Hosted by Steven Spielberg', ""Mel's Drive-In"", 'Minion Mart', 'Starbucks', 'Candylicious', ""That's a Wrap!""]",23
Battlestar Galactica: CYLON,The Dino-Store,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe', 'Cairo Market', 'Discovery Food Court', 'Jurassic Park Rapids Adventure', ""Dino Soarin'"", 'Restroom 6', 'The Dino-Store']",39
Battlestar Galactica: CYLON,The Sci-Fi Emporium,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Galactic Treats', 'The Sci-Fi Emporium']",11
Battlestar Galactica: CYLON,UNIVRS,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase', 'Lights Camera Action Hosted by Steven Spielberg', ""Mel's Drive-In"", 'UNIVRS']",19
Battlestar Galactica: CYLON,Universal Studios Store,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase', 'Lights Camera Action Hosted by Steven Spielberg', ""Mel's Drive-In"", 'Restroom 1', 'Entrance', 'Universal Studios Store']",20
Battlestar Galactica: CYLON,Restroom 1,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase', 'Lights Camera Action Hosted by Steven Spielberg', ""Mel's Drive-In"", 'Restroom 1']",17
Battlestar Galactica: CYLON,Restroom 2,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Restroom 2']",12
Battlestar Galactica: CYLON,Restroom 3,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Restroom 3']",6
Battlestar Galactica: CYLON,Restroom 4,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Restroom 4']",15
Battlestar Galactica: CYLON,Restroom 5,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe', 'Cairo Market', 'Discovery Food Court', 'Restroom 5']",25
Battlestar Galactica: CYLON,Restroom 6,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe', 'Cairo Market', 'Discovery Food Court', 'Jurassic Park Rapids Adventure', ""Dino Soarin'"", 'Restroom 6']",33
Battlestar Galactica: CYLON,Restroom 7,"['Battlestar Galactica: CYLON', 'Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks', 'Restroom 7']",17
Battlestar Galactica: HUMAN,Accelerator,"['Battlestar Galactica: HUMAN', 'Battlestar Galactica: CYLON', 'Accelerator']",5
Battlestar Galactica: HUMAN,Battlestar Galactica: CYLON,"['Battlestar Galactica: HUMAN', 'Battlestar Galactica: CYLON']",1
Battlestar Galactica: HUMAN,Canopy Flyer,"['Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe', 'Cairo Market', 'Discovery Food Court', 'Restroom 5', 'Canopy Flyer']",29
Battlestar Galactica: HUMAN,Dino Soarin',"['Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe', 'Cairo Market', 'Discovery Food Court', 'Jurassic Park Rapids Adventure', ""Dino Soarin'""]",29
Battlestar Galactica: HUMAN,Donkey Live,"['Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks', ""Friar's Good Food"", 'Shrek 4D Adventure', 'Enchanted Airways', 'Donkey Live']",25
Battlestar Galactica: HUMAN,Enchanted Airways,"['Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks', ""Friar's Good Food"", 'Shrek 4D Adventure', 'Enchanted Airways']",21
Battlestar Galactica: HUMAN,Fortune Favours The Furry,"['Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Goldilocks', ""Friar's Good Food"", 'Shrek 4D Adventure', 'Enchanted Airways', 'Donkey Live', 'Fortune Favours The Furry']",28
Battlestar Galactica: HUMAN,Jurassic Park Rapids Adventure,"['Battlestar Galactica: HUMAN', 'Frozen Fuel', 'Transformers Supply Vault', 'Revenge of the Mummy', 'Oasis Spice Cafe', 'Cairo Market', 'Discovery Food Court', 'Jurassic Park Rapids Adventure']",26
Battlestar Galactica: HUMAN,Lights Camera Action Hosted by Steven Spielberg,"['Battlestar Galactica: HUMAN', 'TRANSFORMERS The Ride: The Ultimate 3D Battle', ""Big Bird's Emporium"", 'Sesame Street Spaghetti Space Chase', 'Lights Camera Action Hosted by Steven Spielberg']",13
