,datetime,Date,Time,Temp,rain,Day of the Week,School Holiday,Public Holiday,Weekend,type_of_day
0,2024-04-01 10:00:00,2024-04-01,10:00:00,30,0,Monday,0,0,0,4
1,2024-04-01 10:01:00,2024-04-01,10:01:00,30,0,Monday,0,0,0,4
2,2024-04-01 10:02:00,2024-04-01,10:02:00,30,0,Monday,0,0,0,4
3,2024-04-01 10:03:00,2024-04-01,10:03:00,30,0,Monday,0,0,0,4
4,2024-04-01 10:04:00,2024-04-01,10:04:00,30,0,Monday,0,0,0,4
5,2024-04-01 10:05:00,2024-04-01,10:05:00,30,0,Monday,0,0,0,4
6,2024-04-01 10:06:00,2024-04-01,10:06:00,30,0,Monday,0,0,0,4
7,2024-04-01 10:07:00,2024-04-01,10:07:00,30,0,Monday,0,0,0,4
8,2024-04-01 10:08:00,2024-04-01,10:08:00,30,0,Monday,0,0,0,4
9,2024-04-01 10:09:00,2024-04-01,10:09:00,30,0,Monday,0,0,0,4
10,2024-04-01 10:10:00,2024-04-01,10:10:00,30,0,Monday,0,0,0,4
11,2024-04-01 10:11:00,2024-04-01,10:11:00,30,0,Monday,0,0,0,4
12,2024-04-01 10:12:00,2024-04-01,10:12:00,30,0,Monday,0,0,0,4
13,2024-04-01 10:13:00,2024-04-01,10:13:00,30,0,Monday,0,0,0,4
14,2024-04-01 10:14:00,2024-04-01,10:14:00,30,0,Monday,0,0,0,4
15,2024-04-01 10:15:00,2024-04-01,10:15:00,30,0,Monday,0,0,0,4
16,2024-04-01 10:16:00,2024-04-01,10:16:00,30,0,Monday,0,0,0,4
17,2024-04-01 10:17:00,2024-04-01,10:17:00,30,0,Monday,0,0,0,4
18,2024-04-01 10:18:00,2024-04-01,10:18:00,30,0,Monday,0,0,0,4
19,2024-04-01 10:19:00,2024-04-01,10:19:00,30,0,Monday,0,0,0,4
20,2024-04-01 10:20:00,2024-04-01,10:20:00,30,0,Monday,0,0,0,4
21,2024-04-01 10:21:00,2024-04-01,10:21:00,30,0,Monday,0,0,0,4
22,2024-04-01 10:22:00,2024-04-01,10:22:00,30,0,Monday,0,0,0,4
23,2024-04-01 10:23:00,2024-04-01,10:23:00,30,0,Monday,0,0,0,4
24,2024-04-01 10:24:00,2024-04-01,10:24:00,30,0,Monday,0,0,0,4
25,2024-04-01 10:25:00,2024-04-01,10:25:00,30,0,Monday,0,0,0,4
26,2024-04-01 10:26:00,2024-04-01,10:26:00,30,0,Monday,0,0,0,4
27,2024-04-01 10:27:00,2024-04-01,10:27:00,30,0,Monday,0,0,0,4
28,2024-04-01 10:28:00,2024-04-01,10:28:00,30,0,Monday,0,0,0,4
29,2024-04-01 10:29:00,2024-04-01,10:29:00,30,0,Monday,0,0,0,4
30,2024-04-01 10:30:00,2024-04-01,10:30:00,30,0,Monday,0,0,0,4
31,2024-04-01 10:31:00,2024-04-01,10:31:00,30,0,Monday,0,0,0,4
32,2024-04-01 10:32:00,2024-04-01,10:32:00,30,0,Monday,0,0,0,4
33,2024-04-01 10:33:00,2024-04-01,10:33:00,30,0,Monday,0,0,0,4
34,2024-04-01 10:34:00,2024-04-01,10:34:00,30,0,Monday,0,0,0,4
35,2024-04-01 10:35:00,2024-04-01,10:35:00,30,0,Monday,0,0,0,4
36,2024-04-01 10:36:00,2024-04-01,10:36:00,30,0,Monday,0,0,0,4
37,2024-04-01 10:37:00,2024-04-01,10:37:00,30,0,Monday,0,0,0,4
38,2024-04-01 10:38:00,2024-04-01,10:38:00,30,0,Monday,0,0,0,4
39,2024-04-01 10:39:00,2024-04-01,10:39:00,30,0,Monday,0,0,0,4
40,2024-04-01 10:40:00,2024-04-01,10:40:00,30,0,Monday,0,0,0,4
41,2024-04-01 10:41:00,2024-04-01,10:41:00,30,0,Monday,0,0,0,4
42,2024-04-01 10:42:00,2024-04-01,10:42:00,30,0,Monday,0,0,0,4
43,2024-04-01 10:43:00,2024-04-01,10:43:00,30,0,Monday,0,0,0,4
44,2024-04-01 10:44:00,2024-04-01,10:44:00,30,0,Monday,0,0,0,4
45,2024-04-01 10:45:00,2024-04-01,10:45:00,30,0,Monday,0,0,0,4
46,2024-04-01 10:46:00,2024-04-01,10:46:00,30,0,Monday,0,0,0,4
47,2024-04-01 10:47:00,2024-04-01,10:47:00,30,0,Monday,0,0,0,4
48,2024-04-01 10:48:00,2024-04-01,10:48:00,30,0,Monday,0,0,0,4
49,2024-04-01 10:49:00,2024-04-01,10:49:00,30,0,Monday,0,0,0,4
50,2024-04-01 10:50:00,2024-04-01,10:50:00,30,0,Monday,0,0,0,4
51,2024-04-01 10:51:00,2024-04-01,10:51:00,30,0,Monday,0,0,0,4
52,2024-04-01 10:52:00,2024-04-01,10:52:00,30,0,Monday,0,0,0,4
53,2024-04-01 10:53:00,2024-04-01,10:53:00,30,0,Monday,0,0,0,4
54,2024-04-01 10:54:00,2024-04-01,10:54:00,30,0,Monday,0,0,0,4
55,2024-04-01 10:55:00,2024-04-01,10:55:00,30,0,Monday,0,0,0,4
56,2024-04-01 10:56:00,2024-04-01,10:56:00,30,0,Monday,0,0,0,4
57,2024-04-01 10:57:00,2024-04-01,10:57:00,30,0,Monday,0,0,0,4
58,2024-04-01 10:58:00,2024-04-01,10:58:00,30,0,Monday,0,0,0,4
59,2024-04-01 10:59:00,2024-04-01,10:59:00,30,0,Monday,0,0,0,4
60,2024-04-01 11:00:00,2024-04-01,11:00:00,30,0,Monday,0,0,0,4
61,2024-04-01 11:01:00,2024-04-01,11:01:00,30,0,Monday,0,0,0,4
62,2024-04-01 11:02:00,2024-04-01,11:02:00,30,0,Monday,0,0,0,4
63,2024-04-01 11:03:00,2024-04-01,11:03:00,30,0,Monday,0,0,0,4
64,2024-04-01 11:04:00,2024-04-01,11:04:00,30,0,Monday,0,0,0,4
65,2024-04-01 11:05:00,2024-04-01,11:05:00,30,0,Monday,0,0,0,4
66,2024-04-01 11:06:00,2024-04-01,11:06:00,30,0,Monday,0,0,0,4
67,2024-04-01 11:07:00,2024-04-01,11:07:00,30,0,Monday,0,0,0,4
68,2024-04-01 11:08:00,2024-04-01,11:08:00,30,0,Monday,0,0,0,4
69,2024-04-01 11:09:00,2024-04-01,11:09:00,30,0,Monday,0,0,0,4
70,2024-04-01 11:10:00,2024-04-01,11:10:00,30,0,Monday,0,0,0,4
71,2024-04-01 11:11:00,2024-04-01,11:11:00,30,0,Monday,0,0,0,4
72,2024-04-01 11:12:00,2024-04-01,11:12:00,30,0,Monday,0,0,0,4
73,2024-04-01 11:13:00,2024-04-01,11:13:00,30,0,Monday,0,0,0,4
74,2024-04-01 11:14:00,2024-04-01,11:14:00,30,0,Monday,0,0,0,4
75,2024-04-01 11:15:00,2024-04-01,11:15:00,30,0,Monday,0,0,0,4
76,2024-04-01 11:16:00,2024-04-01,11:16:00,30,0,Monday,0,0,0,4
77,2024-04-01 11:17:00,2024-04-01,11:17:00,30,0,Monday,0,0,0,4
78,2024-04-01 11:18:00,2024-04-01,11:18:00,30,0,Monday,0,0,0,4
79,2024-04-01 11:19:00,2024-04-01,11:19:00,30,0,Monday,0,0,0,4
80,2024-04-01 11:20:00,2024-04-01,11:20:00,30,0,Monday,0,0,0,4
81,2024-04-01 11:21:00,2024-04-01,11:21:00,30,0,Monday,0,0,0,4
82,2024-04-01 11:22:00,2024-04-01,11:22:00,30,0,Monday,0,0,0,4
83,2024-04-01 11:23:00,2024-04-01,11:23:00,30,0,Monday,0,0,0,4
84,2024-04-01 11:24:00,2024-04-01,11:24:00,30,0,Monday,0,0,0,4
85,2024-04-01 11:25:00,2024-04-01,11:25:00,30,0,Monday,0,0,0,4
86,2024-04-01 11:26:00,2024-04-01,11:26:00,30,0,Monday,0,0,0,4
87,2024-04-01 11:27:00,2024-04-01,11:27:00,30,0,Monday,0,0,0,4
88,2024-04-01 11:28:00,2024-04-01,11:28:00,30,0,Monday,0,0,0,4
89,2024-04-01 11:29:00,2024-04-01,11:29:00,30,0,Monday,0,0,0,4
90,2024-04-01 11:30:00,2024-04-01,11:30:00,30,0,Monday,0,0,0,4
91,2024-04-01 11:31:00,2024-04-01,11:31:00,30,0,Monday,0,0,0,4
92,2024-04-01 11:32:00,2024-04-01,11:32:00,30,0,Monday,0,0,0,4
93,2024-04-01 11:33:00,2024-04-01,11:33:00,30,0,Monday,0,0,0,4
94,2024-04-01 11:34:00,2024-04-01,11:34:00,30,0,Monday,0,0,0,4
95,2024-04-01 11:35:00,2024-04-01,11:35:00,30,0,Monday,0,0,0,4
96,2024-04-01 11:36:00,2024-04-01,11:36:00,30,0,Monday,0,0,0,4
97,2024-04-01 11:37:00,2024-04-01,11:37:00,30,0,Monday,0,0,0,4
98,2024-04-01 11:38:00,2024-04-01,11:38:00,30,0,Monday,0,0,0,4
99,2024-04-01 11:39:00,2024-04-01,11:39:00,30,0,Monday,0,0,0,4
100,2024-04-01 11:40:00,2024-04-01,11:40:00,30,0,Monday,0,0,0,4
101,2024-04-01 11:41:00,2024-04-01,11:41:00,30,0,Monday,0,0,0,4
102,2024-04-01 11:42:00,2024-04-01,11:42:00,30,0,Monday,0,0,0,4
103,2024-04-01 11:43:00,2024-04-01,11:43:00,30,0,Monday,0,0,0,4
104,2024-04-01 11:44:00,2024-04-01,11:44:00,30,0,Monday,0,0,0,4
105,2024-04-01 11:45:00,2024-04-01,11:45:00,30,0,Monday,0,0,0,4
106,2024-04-01 11:46:00,2024-04-01,11:46:00,30,0,Monday,0,0,0,4
107,2024-04-01 11:47:00,2024-04-01,11:47:00,30,0,Monday,0,0,0,4
108,2024-04-01 11:48:00,2024-04-01,11:48:00,30,0,Monday,0,0,0,4
