Date/Time,Wait Time,Month,Day,Time,Day of Week,Number of Visitors,Number of New Visitors Arriving,Time Interval,Number of New Visitors Arriving_sum
2024-01-01 11:40:00,20,1,1,11:40,Monday,100,400.0,2024-01-01 11:00:00,2200.0
2024-01-01 11:45:00,21,1,1,11:45,Monday,105,200.0,2024-01-01 11:00:00,2200.0
2024-01-01 11:50:00,19,1,1,11:50,Monday,95,0.0,2024-01-01 11:00:00,2200.0
2024-01-01 11:55:00,20,1,1,11:55,Monday,100,200.0,2024-01-01 11:00:00,2200.0
2024-01-01 12:00:00,20,1,1,12:00,Monday,100,0.0,2024-01-01 12:00:00,1000.0
2024-01-01 12:05:00,19,1,1,12:05,Monday,95,0.0,2024-01-01 12:00:00,1000.0
2024-01-01 12:10:00,17,1,1,12:10,Monday,85,0.0,2024-01-01 12:00:00,1000.0
2024-01-01 12:15:00,17,1,1,12:15,Monday,85,0.0,2024-01-01 12:00:00,1000.0
2024-01-01 12:20:00,18,1,1,12:20,Monday,90,200.0,2024-01-01 12:00:00,1000.0
2024-01-01 12:25:00,18,1,1,12:25,Monday,90,0.0,2024-01-01 12:00:00,1000.0
2024-01-01 12:30:00,17,1,1,12:30,Monday,85,0.0,2024-01-01 12:00:00,1000.0
2024-01-01 12:35:00,19,1,1,12:35,Monday,95,400.0,2024-01-01 12:00:00,1000.0
2024-01-01 12:40:00,19,1,1,12:40,Monday,95,0.0,2024-01-01 12:00:00,1000.0
2024-01-01 12:45:00,19,1,1,12:45,Monday,95,0.0,2024-01-01 12:00:00,1000.0
2024-01-01 12:50:00,19,1,1,12:50,Monday,95,0.0,2024-01-01 12:00:00,1000.0
2024-01-01 12:55:00,21,1,1,12:55,Monday,105,400.0,2024-01-01 12:00:00,1000.0
2024-01-01 13:00:00,21,1,1,13:00,Monday,105,0.0,2024-01-01 13:00:00,800.0
2024-01-01 13:05:00,22,1,1,13:05,Monday,110,200.0,2024-01-01 13:00:00,800.0
2024-01-01 13:10:00,25,1,1,13:10,Monday,125,600.0,2024-01-01 13:00:00,800.0
2024-01-01 13:15:00,25,1,1,13:15,Monday,125,0.0,2024-01-01 13:00:00,800.0
2024-01-01 13:20:00,25,1,1,13:20,Monday,125,0.0,2024-01-01 13:00:00,800.0
2024-01-01 13:25:00,25,1,1,13:25,Monday,125,0.0,2024-01-01 13:00:00,800.0
2024-01-01 13:30:00,24,1,1,13:30,Monday,120,0.0,2024-01-01 13:00:00,800.0
2024-01-01 13:35:00,24,1,1,13:35,Monday,120,0.0,2024-01-01 13:00:00,800.0
2024-01-01 13:40:00,24,1,1,13:40,Monday,120,0.0,2024-01-01 13:00:00,800.0
2024-01-01 13:45:00,24,1,1,13:45,Monday,120,0.0,2024-01-01 13:00:00,800.0
2024-01-01 13:50:00,24,1,1,13:50,Monday,120,0.0,2024-01-01 13:00:00,800.0
2024-01-01 13:55:00,23,1,1,13:55,Monday,115,0.0,2024-01-01 13:00:00,800.0
2024-01-01 14:00:00,23,1,1,14:00,Monday,115,0.0,2024-01-01 14:00:00,1400.0
2024-01-01 14:05:00,23,1,1,14:05,Monday,115,0.0,2024-01-01 14:00:00,1400.0
2024-01-01 14:10:00,20,1,1,14:10,Monday,100,0.0,2024-01-01 14:00:00,1400.0
2024-01-01 14:15:00,22,1,1,14:15,Monday,110,400.0,2024-01-01 14:00:00,1400.0
2024-01-01 14:20:00,24,1,1,14:20,Monday,120,400.0,2024-01-01 14:00:00,1400.0
2024-01-01 14:25:00,22,1,1,14:25,Monday,110,0.0,2024-01-01 14:00:00,1400.0
2024-01-01 14:30:00,24,1,1,14:30,Monday,120,400.0,2024-01-01 14:00:00,1400.0
2024-01-01 14:35:00,24,1,1,14:35,Monday,120,0.0,2024-01-01 14:00:00,1400.0
2024-01-01 14:40:00,24,1,1,14:40,Monday,120,0.0,2024-01-01 14:00:00,1400.0
2024-01-01 14:45:00,24,1,1,14:45,Monday,120,0.0,2024-01-01 14:00:00,1400.0
2024-01-01 14:50:00,25,1,1,14:50,Monday,125,200.0,2024-01-01 14:00:00,1400.0
2024-01-01 14:55:00,25,1,1,14:55,Monday,125,0.0,2024-01-01 14:00:00,1400.0
2024-01-01 15:00:00,25,1,1,15:00,Monday,125,0.0,2024-01-01 15:00:00,800.0
2024-01-01 15:05:00,25,1,1,15:05,Monday,125,0.0,2024-01-01 15:00:00,800.0
2024-01-01 15:15:00,24,1,1,15:15,Monday,120,0.0,2024-01-01 15:00:00,800.0
2024-01-01 15:20:00,21,1,1,15:20,Monday,105,0.0,2024-01-01 15:00:00,800.0
2024-01-01 15:25:00,22,1,1,15:25,Monday,110,200.0,2024-01-01 15:00:00,800.0
2024-01-01 15:35:00,25,1,1,15:35,Monday,125,600.0,2024-01-01 15:00:00,800.0
2024-01-01 15:55:00,25,1,1,15:55,Monday,125,0.0,2024-01-01 15:00:00,800.0
2024-01-01 16:00:00,25,1,1,16:00,Monday,125,0.0,2024-01-01 16:00:00,0.0
2024-01-01 16:05:00,25,1,1,16:05,Monday,125,0.0,2024-01-01 16:00:00,0.0
2024-01-01 16:10:00,25,1,1,16:10,Monday,125,0.0,2024-01-01 16:00:00,0.0
2024-01-01 16:15:00,25,1,1,16:15,Monday,125,0.0,2024-01-01 16:00:00,0.0
2024-01-01 16:20:00,24,1,1,16:20,Monday,120,0.0,2024-01-01 16:00:00,0.0
2024-01-01 16:25:00,24,1,1,16:25,Monday,120,0.0,2024-01-01 16:00:00,0.0
2024-01-01 16:30:00,22,1,1,16:30,Monday,110,0.0,2024-01-01 16:00:00,0.0
2024-01-01 16:35:00,22,1,1,16:35,Monday,110,0.0,2024-01-01 16:00:00,0.0
2024-01-01 16:40:00,22,1,1,16:40,Monday,110,0.0,2024-01-01 16:00:00,0.0
2024-01-01 16:45:00,21,1,1,16:45,Monday,105,0.0,2024-01-01 16:00:00,0.0
2024-01-01 16:50:00,21,1,1,16:50,Monday,105,0.0,2024-01-01 16:00:00,0.0
2024-01-01 16:55:00,21,1,1,16:55,Monday,105,0.0,2024-01-01 16:00:00,0.0
2024-01-01 17:00:00,19,1,1,17:00,Monday,95,0.0,2024-01-01 17:00:00,600.0
2024-01-01 17:05:00,18,1,1,17:05,Monday,90,0.0,2024-01-01 17:00:00,600.0
2024-01-01 17:10:00,16,1,1,17:10,Monday,80,0.0,2024-01-01 17:00:00,600.0
2024-01-01 17:15:00,16,1,1,17:15,Monday,80,0.0,2024-01-01 17:00:00,600.0
2024-01-01 17:20:00,16,1,1,17:20,Monday,80,0.0,2024-01-01 17:00:00,600.0
2024-01-01 17:25:00,16,1,1,17:25,Monday,80,0.0,2024-01-01 17:00:00,600.0
2024-01-01 17:30:00,16,1,1,17:30,Monday,80,0.0,2024-01-01 17:00:00,600.0
2024-01-01 17:35:00,18,1,1,17:35,Monday,90,400.0,2024-01-01 17:00:00,600.0
2024-01-01 17:40:00,18,1,1,17:40,Monday,90,0.0,2024-01-01 17:00:00,600.0
2024-01-01 17:45:00,18,1,1,17:45,Monday,90,0.0,2024-01-01 17:00:00,600.0
2024-01-01 17:50:00,18,1,1,17:50,Monday,90,0.0,2024-01-01 17:00:00,600.0
2024-01-01 17:55:00,19,1,1,17:55,Monday,95,200.0,2024-01-01 17:00:00,600.0
2024-01-01 18:00:00,17,1,1,18:00,Monday,85,0.0,2024-01-01 18:00:00,200.0
2024-01-01 18:05:00,16,1,1,18:05,Monday,80,0.0,2024-01-01 18:00:00,200.0
2024-01-01 18:10:00,16,1,1,18:10,Monday,80,0.0,2024-01-01 18:00:00,200.0
2024-01-01 18:15:00,15,1,1,18:15,Monday,75,0.0,2024-01-01 18:00:00,200.0
2024-01-01 18:20:00,15,1,1,18:20,Monday,75,0.0,2024-01-01 18:00:00,200.0
2024-01-01 18:25:00,15,1,1,18:25,Monday,75,0.0,2024-01-01 18:00:00,200.0
2024-01-01 18:30:00,15,1,1,18:30,Monday,75,0.0,2024-01-01 18:00:00,200.0
2024-01-01 18:35:00,13,1,1,18:35,Monday,65,0.0,2024-01-01 18:00:00,200.0
2024-01-01 18:40:00,11,1,1,18:40,Monday,55,0.0,2024-01-01 18:00:00,200.0
2024-01-01 18:45:00,12,1,1,18:45,Monday,60,200.0,2024-01-01 18:00:00,200.0
2024-01-01 18:50:00,12,1,1,18:50,Monday,60,0.0,2024-01-01 18:00:00,200.0
2024-01-01 18:55:00,12,1,1,18:55,Monday,60,0.0,2024-01-01 18:00:00,200.0
2024-01-01 19:00:00,12,1,1,19:00,Monday,60,0.0,2024-01-01 19:00:00,0.0
2024-01-01 19:05:00,12,1,1,19:05,Monday,60,0.0,2024-01-01 19:00:00,0.0
2024-01-01 19:10:00,11,1,1,19:10,Monday,55,0.0,2024-01-01 19:00:00,0.0
2024-01-01 19:15:00,9,1,1,19:15,Monday,45,0.0,2024-01-01 19:00:00,0.0
2024-01-01 19:20:00,9,1,1,19:20,Monday,45,0.0,2024-01-01 19:00:00,0.0
2024-01-01 19:25:00,9,1,1,19:25,Monday,45,0.0,2024-01-01 19:00:00,0.0
2024-01-01 19:30:00,9,1,1,19:30,Monday,45,0.0,2024-01-01 19:00:00,0.0
2024-01-01 19:35:00,9,1,1,19:35,Monday,45,0.0,2024-01-01 19:00:00,0.0
2024-01-01 19:40:00,9,1,1,19:40,Monday,45,0.0,2024-01-01 19:00:00,0.0
2024-01-01 19:45:00,9,1,1,19:45,Monday,45,0.0,2024-01-01 19:00:00,0.0
2024-01-01 19:50:00,9,1,1,19:50,Monday,45,0.0,2024-01-01 19:00:00,0.0
2024-01-01 19:55:00,9,1,1,19:55,Monday,45,0.0,2024-01-01 19:00:00,0.0
2024-01-01 20:00:00,9,1,1,20:00,Monday,45,0.0,2024-01-01 20:00:00,200.0
2024-01-01 20:05:00,9,1,1,20:05,Monday,45,0.0,2024-01-01 20:00:00,200.0
2024-01-01 20:10:00,9,1,1,20:10,Monday,45,0.0,2024-01-01 20:00:00,200.0
2024-01-01 20:15:00,9,1,1,20:15,Monday,45,0.0,2024-01-01 20:00:00,200.0
2024-01-01 20:20:00,9,1,1,20:20,Monday,45,0.0,2024-01-01 20:00:00,200.0
2024-01-01 20:25:00,9,1,1,20:25,Monday,45,0.0,2024-01-01 20:00:00,200.0
2024-01-01 20:30:00,10,1,1,20:30,Monday,50,200.0,2024-01-01 20:00:00,200.0
2024-01-01 20:35:00,9,1,1,20:35,Monday,45,0.0,2024-01-01 20:00:00,200.0
2024-01-01 20:40:00,9,1,1,20:40,Monday,45,0.0,2024-01-01 20:00:00,200.0
2024-01-01 20:45:00,9,1,1,20:45,Monday,45,0.0,2024-01-01 20:00:00,200.0
2024-01-01 20:50:00,9,1,1,20:50,Monday,45,0.0,2024-01-01 20:00:00,200.0
2024-01-01 20:55:00,9,1,1,20:55,Monday,45,0.0,2024-01-01 20:00:00,200.0
2024-01-02 10:00:00,7,1,2,10:00,Tuesday,35,0.0,2024-01-02 10:00:00,600.0
