,datetime,Date,Time,Temp,rain,Day of the Week,School Holiday,Public Holiday,Weekend,type_of_day
71,2024-08-09 11:11:00,2024-08-09,11:11:00,29,1,Friday,0,1,0,3
72,2024-08-09 11:12:00,2024-08-09,11:12:00,29,1,Friday,0,1,0,3
73,2024-08-09 11:13:00,2024-08-09,11:13:00,29,1,Friday,0,1,0,3
74,2024-08-09 11:14:00,2024-08-09,11:14:00,29,1,Friday,0,1,0,3
75,2024-08-09 11:15:00,2024-08-09,11:15:00,29,1,Friday,0,1,0,3
76,2024-08-09 11:16:00,2024-08-09,11:16:00,29,1,Friday,0,1,0,3
77,2024-08-09 11:17:00,2024-08-09,11:17:00,29,1,Friday,0,1,0,3
78,2024-08-09 11:18:00,2024-08-09,11:18:00,29,1,Friday,0,1,0,3
79,2024-08-09 11:19:00,2024-08-09,11:19:00,29,1,Friday,0,1,0,3
80,2024-08-09 11:20:00,2024-08-09,11:20:00,29,1,Friday,0,1,0,3
81,2024-08-09 11:21:00,2024-08-09,11:21:00,29,1,Friday,0,1,0,3
82,2024-08-09 11:22:00,2024-08-09,11:22:00,29,1,Friday,0,1,0,3
83,2024-08-09 11:23:00,2024-08-09,11:23:00,29,1,Friday,0,1,0,3
84,2024-08-09 11:24:00,2024-08-09,11:24:00,29,1,Friday,0,1,0,3
85,2024-08-09 11:25:00,2024-08-09,11:25:00,29,1,Friday,0,1,0,3
86,2024-08-09 11:26:00,2024-08-09,11:26:00,29,1,Friday,0,1,0,3
87,2024-08-09 11:27:00,2024-08-09,11:27:00,29,1,Friday,0,1,0,3
88,2024-08-09 11:28:00,2024-08-09,11:28:00,29,1,Friday,0,1,0,3
89,2024-08-09 11:29:00,2024-08-09,11:29:00,29,1,Friday,0,1,0,3
90,2024-08-09 11:30:00,2024-08-09,11:30:00,29,1,Friday,0,1,0,3
91,2024-08-09 11:31:00,2024-08-09,11:31:00,29,1,Friday,0,1,0,3
92,2024-08-09 11:32:00,2024-08-09,11:32:00,29,1,Friday,0,1,0,3
93,2024-08-09 11:33:00,2024-08-09,11:33:00,29,1,Friday,0,1,0,3
94,2024-08-09 11:34:00,2024-08-09,11:34:00,29,1,Friday,0,1,0,3
95,2024-08-09 11:35:00,2024-08-09,11:35:00,29,1,Friday,0,1,0,3
96,2024-08-09 11:36:00,2024-08-09,11:36:00,29,1,Friday,0,1,0,3
97,2024-08-09 11:37:00,2024-08-09,11:37:00,29,1,Friday,0,1,0,3
98,2024-08-09 11:38:00,2024-08-09,11:38:00,29,1,Friday,0,1,0,3
99,2024-08-09 11:39:00,2024-08-09,11:39:00,29,1,Friday,0,1,0,3
100,2024-08-09 11:40:00,2024-08-09,11:40:00,29,1,Friday,0,1,0,3
101,2024-08-09 11:41:00,2024-08-09,11:41:00,29,1,Friday,0,1,0,3
102,2024-08-09 11:42:00,2024-08-09,11:42:00,29,1,Friday,0,1,0,3
103,2024-08-09 11:43:00,2024-08-09,11:43:00,29,1,Friday,0,1,0,3
104,2024-08-09 11:44:00,2024-08-09,11:44:00,29,1,Friday,0,1,0,3
105,2024-08-09 11:45:00,2024-08-09,11:45:00,29,1,Friday,0,1,0,3
106,2024-08-09 11:46:00,2024-08-09,11:46:00,29,1,Friday,0,1,0,3
107,2024-08-09 11:47:00,2024-08-09,11:47:00,29,1,Friday,0,1,0,3
108,2024-08-09 11:48:00,2024-08-09,11:48:00,29,1,Friday,0,1,0,3
109,2024-08-09 11:49:00,2024-08-09,11:49:00,29,1,Friday,0,1,0,3
110,2024-08-09 11:50:00,2024-08-09,11:50:00,29,1,Friday,0,1,0,3
111,2024-08-09 11:51:00,2024-08-09,11:51:00,29,1,Friday,0,1,0,3
112,2024-08-09 11:52:00,2024-08-09,11:52:00,29,1,Friday,0,1,0,3
113,2024-08-09 11:53:00,2024-08-09,11:53:00,29,1,Friday,0,1,0,3
114,2024-08-09 11:54:00,2024-08-09,11:54:00,29,1,Friday,0,1,0,3
115,2024-08-09 11:55:00,2024-08-09,11:55:00,29,1,Friday,0,1,0,3
116,2024-08-09 11:56:00,2024-08-09,11:56:00,29,1,Friday,0,1,0,3
117,2024-08-09 11:57:00,2024-08-09,11:57:00,29,1,Friday,0,1,0,3
118,2024-08-09 11:58:00,2024-08-09,11:58:00,29,1,Friday,0,1,0,3
119,2024-08-09 11:59:00,2024-08-09,11:59:00,29,1,Friday,0,1,0,3
120,2024-08-09 12:00:00,2024-08-09,12:00:00,29,1,Friday,0,1,0,3
121,2024-08-09 12:01:00,2024-08-09,12:01:00,29,1,Friday,0,1,0,3
122,2024-08-09 12:02:00,2024-08-09,12:02:00,29,1,Friday,0,1,0,3
123,2024-08-09 12:03:00,2024-08-09,12:03:00,29,1,Friday,0,1,0,3
124,2024-08-09 12:04:00,2024-08-09,12:04:00,29,1,Friday,0,1,0,3
125,2024-08-09 12:05:00,2024-08-09,12:05:00,29,1,Friday,0,1,0,3
126,2024-08-09 12:06:00,2024-08-09,12:06:00,29,1,Friday,0,1,0,3
127,2024-08-09 12:07:00,2024-08-09,12:07:00,29,1,Friday,0,1,0,3
128,2024-08-09 12:08:00,2024-08-09,12:08:00,29,1,Friday,0,1,0,3
129,2024-08-09 12:09:00,2024-08-09,12:09:00,29,1,Friday,0,1,0,3
130,2024-08-09 12:10:00,2024-08-09,12:10:00,29,1,Friday,0,1,0,3
131,2024-08-09 12:11:00,2024-08-09,12:11:00,29,1,Friday,0,1,0,3
132,2024-08-09 12:12:00,2024-08-09,12:12:00,29,1,Friday,0,1,0,3
133,2024-08-09 12:13:00,2024-08-09,12:13:00,29,1,Friday,0,1,0,3
134,2024-08-09 12:14:00,2024-08-09,12:14:00,29,1,Friday,0,1,0,3
135,2024-08-09 12:15:00,2024-08-09,12:15:00,29,1,Friday,0,1,0,3
136,2024-08-09 12:16:00,2024-08-09,12:16:00,29,1,Friday,0,1,0,3
137,2024-08-09 12:17:00,2024-08-09,12:17:00,29,1,Friday,0,1,0,3
138,2024-08-09 12:18:00,2024-08-09,12:18:00,29,1,Friday,0,1,0,3
139,2024-08-09 12:19:00,2024-08-09,12:19:00,29,1,Friday,0,1,0,3
