Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Date,Public Holiday,School Holiday,Wait Time
Sentosa Island,2023,2,11,0.4,0.4,0.4,0.4,27.8,32.9,25.8,4.8,21.3,2023-02-11,0,0,23.96825396825397
Sentosa Island,2023,2,12,19.0,9.2,12.6,14.0,25.7,30.5,23.1,3.9,27.4,2023-02-12,0,0,19.07936507936508
Sentosa Island,2023,2,13,0.0,0.0,0.0,0.0,27.3,32.0,24.5,4.3,20.6,2023-02-13,0,0,25.131147540983605
Sentosa Island,2023,2,14,4.6,4.6,4.6,4.6,27.3,32.0,25.5,4.6,22.6,2023-02-14,0,0,
Sentosa Island,2023,2,15,28.6,22.2,26.8,27.6,26.3,29.8,22.3,4.6,31.7,2023-02-15,0,0,20.348484848484848
Sentosa Island,2023,2,16,0.0,0.0,0.0,0.0,27.6,32.7,24.3,4.7,24.8,2023-02-16,0,0,21.81159420289855
Sentosa Island,2023,2,17,0.6,0.6,0.6,0.6,27.5,32.1,24.9,4.6,22.6,2023-02-17,0,0,
Sentosa Island,2023,2,18,0.6,0.6,0.6,0.6,28.3,33.7,25.8,5.1,24.8,2023-02-18,0,0,23.619718309859156
Sentosa Island,2023,2,19,6.2,5.2,6.2,6.2,27.9,34.1,25.6,5.3,25.9,2023-02-19,0,0,16.548387096774192
Sentosa Island,2023,2,20,0.2,0.2,0.2,0.2,27.6,31.6,26.0,5.0,22.4,2023-02-20,0,0,30.15714285714286
Sentosa Island,2023,2,21,0.0,0.0,0.0,0.0,28.2,33.0,25.7,5.7,28.9,2023-02-21,0,0,
Sentosa Island,2023,2,22,0.0,0.0,0.0,0.0,27.8,32.7,26.2,5.2,27.4,2023-02-22,0,0,28.675
Sentosa Island,2023,2,23,0.0,0.0,0.0,0.0,28.1,32.9,26.0,5.9,28.5,2023-02-23,0,0,22.57831325301205
Sentosa Island,2023,2,24,0.0,0.0,0.0,0.0,28.4,33.1,26.2,6.1,28.9,2023-02-24,0,0,25.69047619047619
Sentosa Island,2023,2,25,0.0,0.0,0.0,0.0,28.1,32.3,25.7,5.8,30.6,2023-02-25,0,0,25.38888888888889
Sentosa Island,2023,2,26,0.6,0.4,0.4,0.6,27.8,32.6,24.9,7.5,31.3,2023-02-26,0,0,16.642857142857142
Sentosa Island,2023,2,27,4.2,2.4,3.2,3.2,27.2,31.6,24.8,6.8,35.9,2023-02-27,0,0,30.69047619047619
Sentosa Island,2023,2,28,153.2,22.8,38.6,59.6,25.0,27.6,22.6,5.2,37.4,2023-02-28,0,0,
Sentosa Island,2023,3,1,68.0,11.8,24.8,48.4,24.1,27.1,22.1,5.5,24.4,2023-03-01,0,0,12.916666666666666
Sentosa Island,2023,3,2,35.0,14.8,26.6,29.4,24.9,30.7,22.9,3.8,28.5,2023-03-02,0,0,21.285714285714285
Sentosa Island,2023,3,3,36.6,5.4,7.4,11.6,24.6,25.8,23.5,4.1,21.7,2023-03-03,0,0,14.464285714285714
Sentosa Island,2023,3,4,11.2,2.6,5.0,6.8,24.4,25.4,23.0,6.4,37.8,2023-03-04,0,0,14.547619047619047
Sentosa Island,2023,3,5,19.2,10.6,11.0,12.8,25.2,29.9,23.6,4.0,32.0,2023-03-05,0,0,13.119047619047619
Sentosa Island,2023,3,6,0.0,0.0,0.0,0.0,26.3,30.6,23.7,4.9,24.1,2023-03-06,0,0,22.738095238095237
Sentosa Island,2023,3,7,9.6,4.2,4.2,5.4,26.2,30.5,24.6,5.9,28.9,2023-03-07,0,0,
Sentosa Island,2023,3,8,2.6,2.0,2.0,2.0,27.1,30.9,25.0,5.2,29.8,2023-03-08,0,0,22.095238095238095
Sentosa Island,2023,3,9,0.0,0.0,0.0,0.0,28.2,32.4,25.4,6.0,24.4,2023-03-09,0,0,13.857142857142858
Sentosa Island,2023,3,10,0.0,0.0,0.0,0.0,27.9,32.1,25.9,5.9,26.3,2023-03-10,0,0,18.321428571428573
Sentosa Island,2023,3,11,0.0,0.0,0.0,0.0,27.9,31.2,25.9,5.7,22.6,2023-03-11,0,1,19.107142857142858
Sentosa Island,2023,3,12,0.0,0.0,0.0,0.0,27.7,31.5,25.3,6.5,32.4,2023-03-12,0,1,14.94047619047619
Sentosa Island,2023,3,13,0.0,0.0,0.0,0.0,27.9,32.3,25.9,6.0,29.1,2023-03-13,0,1,24.46987951807229
Sentosa Island,2023,3,14,1.0,1.0,1.0,1.0,27.3,30.7,25.3,5.2,26.7,2023-03-14,0,1,15.547619047619047
Sentosa Island,2023,3,15,0.0,0.0,0.0,0.0,27.6,31.5,24.9,5.2,22.6,2023-03-15,0,1,24.654761904761905
Sentosa Island,2023,3,16,0.0,0.0,0.0,0.0,28.2,33.0,25.5,6.1,26.7,2023-03-16,0,1,23.285714285714285
Sentosa Island,2023,3,17,0.0,0.0,0.0,0.0,28.5,34.3,25.8,6.1,25.2,2023-03-17,0,1,21.671875
Sentosa Island,2023,3,18,0.0,0.0,0.0,0.0,28.3,31.8,25.8,5.9,28.9,2023-03-18,0,1,22.566265060240966
Sentosa Island,2023,3,19,26.6,11.8,21.2,26.2,27.3,32.9,24.0,5.1,26.3,2023-03-19,0,1,13.523809523809524
Sentosa Island,2023,3,20,28.0,17.4,22.0,22.2,27.1,31.3,23.5,4.6,22.6,2023-03-20,0,0,24.904761904761905
Sentosa Island,2023,3,21,9.4,8.2,9.4,9.4,27.1,30.6,23.4,4.6,25.9,2023-03-21,0,0,
Sentosa Island,2023,3,22,0.0,0.0,0.0,0.0,28.0,32.0,25.7,5.5,24.1,2023-03-22,0,0,26.154761904761905
Sentosa Island,2023,3,23,0.0,0.0,0.0,0.0,28.3,31.4,26.0,6.6,28.5,2023-03-23,0,0,21.988095238095237
Sentosa Island,2023,3,24,0.0,0.0,0.0,0.0,28.3,31.9,26.2,3.7,20.2,2023-03-24,0,0,22.511904761904763
Sentosa Island,2023,3,25,11.6,5.2,5.8,9.4,26.5,30.1,24.9,3.3,23.7,2023-03-25,0,0,17.654761904761905
Sentosa Island,2023,3,26,0.0,0.0,0.0,0.0,27.5,30.3,24.8,5.8,25.6,2023-03-26,0,0,17.904761904761905
Sentosa Island,2023,3,27,30.0,13.8,23.2,27.0,26.0,27.6,22.9,3.4,41.1,2023-03-27,0,0,22.80952380952381
Sentosa Island,2023,3,28,0.0,0.0,0.0,0.0,28.6,31.6,25.4,5.4,29.8,2023-03-28,0,0,
Sentosa Island,2023,3,29,0.0,0.0,0.0,0.0,28.6,33.2,26.8,4.9,24.1,2023-03-29,0,0,24.238095238095237
Sentosa Island,2023,3,30,26.2,11.2,20.4,25.6,27.6,34.0,23.9,4.4,22.4,2023-03-30,0,0,17.19047619047619
Sentosa Island,2023,3,31,0.2,0.2,0.2,0.2,27.6,30.5,24.9,4.3,32.4,2023-03-31,0,0,21.19047619047619
Sentosa Island,2023,4,1,0.0,0.0,0.0,0.0,27.8,31.3,26.0,4.0,24.1,2023-04-01,0,0,17.476190476190474
Sentosa Island,2023,4,2,0.0,0.0,0.0,0.0,28.3,32.0,26.2,4.0,21.3,2023-04-02,0,0,18.38095238095238
Sentosa Island,2023,4,3,28.8,14.2,23.0,25.2,26.4,28.0,22.6,4.5,31.7,2023-04-03,0,0,28.879518072289155
Sentosa Island,2023,4,4,0.0,0.0,0.0,0.0,28.7,32.4,25.6,4.7,23.3,2023-04-04,0,0,
Sentosa Island,2023,4,5,20.8,16.4,19.4,20.6,27.5,30.2,22.7,3.5,32.4,2023-04-05,0,0,36.81707317073171
Sentosa Island,2023,4,6,0.5,0.5,0.5,0.5,28.4,30.2,26.4,5.9,31.7,2023-04-06,0,0,38.53846153846154
Sentosa Island,2023,4,7,0.0,0.0,0.0,0.0,27.6,29.4,25.8,4.2,20.2,2023-04-07,1,1,41.49382716049383
Sentosa Island,2023,4,8,0.6,0.4,0.6,0.6,28.0,32.4,25.9,3.8,19.4,2023-04-08,0,0,27.950617283950617
Sentosa Island,2023,4,9,8.0,4.2,5.6,6.8,28.1,32.2,25.5,4.1,32.0,2023-04-09,0,0,17.871794871794872
Sentosa Island,2023,4,10,0.0,0.0,0.0,0.0,28.2,32.0,25.6,3.9,20.9,2023-04-10,0,0,34.1025641025641
Sentosa Island,2023,4,11,0.0,0.0,0.0,0.0,28.8,32.2,26.1,5.2,22.6,2023-04-11,0,0,
Sentosa Island,2023,4,12,0.0,0.0,0.0,0.0,29.0,32.1,26.1,4.7,24.4,2023-04-12,0,0,30.80952380952381
Sentosa Island,2023,4,13,0.0,0.0,0.0,0.0,28.8,31.5,26.8,5.0,22.6,2023-04-13,0,0,29.178571428571427
