Ride,Date/Time,Wait Time,DayType
Treasure Hunters,2023-01-04 14:20:04,40,0
Treasure Hunters,2023-01-04 14:25:04,40,0
Treasure Hunters,2023-01-04 14:30:04,40,0
Treasure Hunters,2023-01-04 14:35:04,40,0
Treasure Hunters,2023-01-04 14:40:03,40,0
Treasure Hunters,2023-01-04 14:45:03,40,0
Treasure Hunters,2023-01-04 14:50:04,40,0
Treasure Hunters,2023-01-04 14:55:03,40,0
Treasure Hunters,2023-01-04 15:00:04,40,0
Treasure Hunters,2023-01-04 15:05:04,40,0
Treasure Hunters,2023-01-04 15:10:03,40,0
Treasure Hunters,2023-01-04 15:15:03,40,0
Treasure Hunters,2023-01-04 15:20:03,40,0
Treasure Hunters,2023-01-04 15:25:04,40,0
Treasure Hunters,2023-01-04 15:30:03,40,0
Treasure Hunters,2023-01-04 15:35:03,40,0
Treasure Hunters,2023-01-04 15:40:03,40,0
Treasure Hunters,2023-01-04 15:45:04,40,0
Treasure Hunters,2023-01-04 15:50:04,40,0
Treasure Hunters,2023-01-04 15:55:04,40,0
Treasure Hunters,2023-01-04 16:00:04,40,0
Treasure Hunters,2023-01-04 16:05:04,40,0
Treasure Hunters,2023-01-04 16:10:04,40,0
Treasure Hunters,2023-01-04 16:15:03,40,0
Treasure Hunters,2023-01-04 16:20:03,40,0
Treasure Hunters,2023-01-04 16:25:04,40,0
Treasure Hunters,2023-01-04 16:30:04,40,0
Treasure Hunters,2023-01-04 16:35:03,40,0
Treasure Hunters,2023-01-04 16:40:04,40,0
Treasure Hunters,2023-01-04 16:45:04,40,0
Treasure Hunters,2023-01-04 16:50:03,40,0
Treasure Hunters,2023-01-04 16:55:04,60,0
Treasure Hunters,2023-01-04 17:00:05,60,0
Treasure Hunters,2023-01-04 17:05:03,60,0
Treasure Hunters,2023-01-04 17:10:03,60,0
Treasure Hunters,2023-01-04 17:15:03,60,0
Treasure Hunters,2023-01-04 17:20:04,60,0
Treasure Hunters,2023-01-04 17:25:04,60,0
Treasure Hunters,2023-01-04 17:30:04,60,0
Treasure Hunters,2023-01-04 17:35:03,60,0
Treasure Hunters,2023-01-04 17:40:04,60,0
Treasure Hunters,2023-01-04 17:45:03,60,0
Treasure Hunters,2023-01-04 17:50:04,60,0
Treasure Hunters,2023-01-04 17:55:04,60,0
Treasure Hunters,2023-01-05 11:00:03,5,0
Treasure Hunters,2023-01-05 11:05:03,5,0
Treasure Hunters,2023-01-05 11:10:03,5,0
Treasure Hunters,2023-01-05 11:15:04,5,0
Treasure Hunters,2023-01-05 11:20:04,5,0
Treasure Hunters,2023-01-05 11:25:03,5,0
Treasure Hunters,2023-01-05 11:30:03,5,0
Treasure Hunters,2023-01-05 11:35:04,5,0
Treasure Hunters,2023-01-05 11:40:04,5,0
Treasure Hunters,2023-01-05 11:45:04,20,0
Treasure Hunters,2023-01-05 11:50:03,20,0
Treasure Hunters,2023-01-05 11:55:04,20,0
Treasure Hunters,2023-01-05 12:00:04,20,0
Treasure Hunters,2023-01-05 12:05:03,20,0
Treasure Hunters,2023-01-05 12:10:03,20,0
Treasure Hunters,2023-01-05 12:15:03,20,0
Treasure Hunters,2023-01-05 12:20:03,30,0
Treasure Hunters,2023-01-05 12:25:04,30,0
Treasure Hunters,2023-01-05 12:30:03,30,0
Treasure Hunters,2023-01-05 12:35:03,30,0
Treasure Hunters,2023-01-05 12:40:04,30,0
Treasure Hunters,2023-01-05 12:45:03,30,0
Treasure Hunters,2023-01-05 12:50:03,30,0
Treasure Hunters,2023-01-05 12:55:03,30,0
Treasure Hunters,2023-01-05 13:00:04,30,0
Treasure Hunters,2023-01-05 13:05:05,30,0
Treasure Hunters,2023-01-05 13:10:04,30,0
Treasure Hunters,2023-01-05 13:15:04,30,0
Treasure Hunters,2023-01-05 13:20:03,40,0
Treasure Hunters,2023-01-05 13:25:03,40,0
Treasure Hunters,2023-01-05 13:30:03,40,0
Treasure Hunters,2023-01-05 13:35:03,40,0
Treasure Hunters,2023-01-05 13:40:04,40,0
Treasure Hunters,2023-01-05 13:45:03,40,0
Treasure Hunters,2023-01-05 13:50:04,40,0
Treasure Hunters,2023-01-05 13:55:04,40,0
Treasure Hunters,2023-01-05 14:00:04,40,0
Treasure Hunters,2023-01-05 14:05:03,40,0
Treasure Hunters,2023-01-05 14:10:04,40,0
Treasure Hunters,2023-01-05 14:15:05,40,0
Treasure Hunters,2023-01-05 14:20:03,30,0
Treasure Hunters,2023-01-05 14:25:04,30,0
Treasure Hunters,2023-01-05 14:30:04,30,0
Treasure Hunters,2023-01-05 14:35:04,30,0
Treasure Hunters,2023-01-05 14:40:03,50,0
Treasure Hunters,2023-01-05 14:45:05,50,0
Treasure Hunters,2023-01-05 14:50:03,50,0
Treasure Hunters,2023-01-05 14:55:04,50,0
Treasure Hunters,2023-01-05 15:00:05,50,0
Treasure Hunters,2023-01-05 15:05:04,50,0
Treasure Hunters,2023-01-05 15:10:04,50,0
Treasure Hunters,2023-01-05 15:15:03,50,0
Treasure Hunters,2023-01-05 15:20:04,50,0
Treasure Hunters,2023-01-05 15:25:03,50,0
Treasure Hunters,2023-01-05 15:30:03,50,0
Treasure Hunters,2023-01-05 15:35:03,50,0
Treasure Hunters,2023-01-05 15:40:04,50,0
Treasure Hunters,2023-01-05 15:45:03,50,0
Treasure Hunters,2023-01-05 15:50:04,50,0
Treasure Hunters,2023-01-05 15:55:03,50,0
Treasure Hunters,2023-01-05 16:00:03,50,0
Treasure Hunters,2023-01-05 16:05:04,50,0
Treasure Hunters,2023-01-05 16:10:04,50,0
Treasure Hunters,2023-01-05 16:15:05,50,0
Treasure Hunters,2023-01-05 16:20:04,50,0
Treasure Hunters,2023-01-05 16:25:03,50,0
Treasure Hunters,2023-01-05 16:30:03,50,0
Treasure Hunters,2023-01-05 16:35:03,50,0
Treasure Hunters,2023-01-05 16:40:03,50,0
Treasure Hunters,2023-01-05 16:45:04,50,0
Treasure Hunters,2023-01-05 16:50:04,50,0
Treasure Hunters,2023-01-05 16:55:04,50,0
Treasure Hunters,2023-01-05 17:00:04,50,0
Treasure Hunters,2023-01-05 17:05:04,50,0
Treasure Hunters,2023-01-05 17:10:04,50,0
Treasure Hunters,2023-01-05 17:15:03,50,0
Treasure Hunters,2023-01-05 17:20:04,50,0
Treasure Hunters,2023-01-05 17:25:03,50,0
Treasure Hunters,2023-01-05 17:30:03,50,0
Treasure Hunters,2023-01-05 17:35:04,50,0
Treasure Hunters,2023-01-05 17:40:03,50,0
Treasure Hunters,2023-01-05 17:45:04,50,0
Treasure Hunters,2023-01-05 17:50:04,50,0
Treasure Hunters,2023-01-05 17:55:03,50,0
Treasure Hunters,2023-01-06 11:00:03,5,0
Treasure Hunters,2023-01-06 11:05:05,5,0
Treasure Hunters,2023-01-06 11:10:04,5,0
Treasure Hunters,2023-01-06 11:15:04,5,0
Treasure Hunters,2023-01-06 11:20:04,5,0
Treasure Hunters,2023-01-06 11:25:03,5,0
Treasure Hunters,2023-01-06 11:30:05,5,0
Treasure Hunters,2023-01-06 11:55:03,15,0
Treasure Hunters,2023-01-06 12:00:04,15,0
Treasure Hunters,2023-01-06 12:05:04,20,0
Treasure Hunters,2023-01-06 12:10:05,30,0
Treasure Hunters,2023-01-06 12:15:04,30,0
Treasure Hunters,2023-01-06 12:20:04,30,0
Treasure Hunters,2023-01-06 12:25:03,30,0
Treasure Hunters,2023-01-06 12:30:03,30,0
Treasure Hunters,2023-01-06 12:35:04,30,0
Treasure Hunters,2023-01-06 12:40:03,30,0
Treasure Hunters,2023-01-06 12:45:03,30,0
Treasure Hunters,2023-01-06 12:50:03,30,0
Treasure Hunters,2023-01-06 12:55:03,30,0
Treasure Hunters,2023-01-06 13:00:04,30,0
Treasure Hunters,2023-01-06 13:05:04,30,0
Treasure Hunters,2023-01-06 13:10:04,30,0
Treasure Hunters,2023-01-06 13:15:03,30,0
Treasure Hunters,2023-01-06 13:20:04,30,0
Treasure Hunters,2023-01-06 13:25:03,30,0
Treasure Hunters,2023-01-06 13:30:04,30,0
Treasure Hunters,2023-01-06 13:35:03,30,0
