Date,Day,Wait Time,Weekend,Public Holiday,School Holiday,Weather Condition,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C)
2023-03-03,Friday,14.464285714285714,0,0,0,2,36.6,5.4,7.4,11.6,24.6,25.8,23.5
2023-03-04,Saturday,14.547619047619047,1,0,0,2,11.2,2.6,5.0,6.8,24.4,25.4,23.0
2023-03-05,Sunday,13.119047619047619,1,0,0,2,19.2,10.6,11.0,12.8,25.2,29.9,23.6
2023-03-06,Monday,22.738095238095237,0,0,0,0,0.0,0.0,0.0,0.0,26.3,30.6,23.7
2023-03-08,Wednesday,22.095238095238095,0,0,0,1,2.6,2.0,2.0,2.0,27.1,30.9,25.0
2023-03-09,Thursday,13.857142857142858,0,0,0,0,0.0,0.0,0.0,0.0,28.2,32.4,25.4
2023-03-10,Friday,18.321428571428573,0,0,0,0,0.0,0.0,0.0,0.0,27.9,32.1,25.9
2023-03-11,Saturday,19.107142857142858,1,0,1,0,0.0,0.0,0.0,0.0,27.9,31.2,25.9
2023-03-12,Sunday,14.94047619047619,1,0,1,0,0.0,0.0,0.0,0.0,27.7,31.5,25.3
2023-03-13,Monday,24.46987951807229,0,0,1,0,0.0,0.0,0.0,0.0,27.9,32.3,25.9
2023-03-14,Tuesday,15.547619047619047,0,0,1,0,1.0,1.0,1.0,1.0,27.3,30.7,25.3
2023-03-15,Wednesday,24.654761904761905,0,0,1,0,0.0,0.0,0.0,0.0,27.6,31.5,24.9
2023-03-16,Thursday,23.285714285714285,0,0,1,0,0.0,0.0,0.0,0.0,28.2,33.0,25.5
2023-03-17,Friday,21.671875,0,0,1,0,0.0,0.0,0.0,0.0,28.5,34.3,25.8
2023-03-18,Saturday,22.566265060240966,1,0,1,0,0.0,0.0,0.0,0.0,28.3,31.8,25.8
2023-03-19,Sunday,13.523809523809524,1,0,1,2,26.6,11.8,21.2,26.2,27.3,32.9,24.0
2023-03-20,Monday,24.904761904761905,0,0,0,2,28.0,17.4,22.0,22.2,27.1,31.3,23.5
2023-03-22,Wednesday,26.154761904761905,0,0,0,0,0.0,0.0,0.0,0.0,28.0,32.0,25.7
2023-03-23,Thursday,21.988095238095237,0,0,0,0,0.0,0.0,0.0,0.0,28.3,31.4,26.0
2023-03-24,Friday,22.511904761904763,0,0,0,0,0.0,0.0,0.0,0.0,28.3,31.9,26.2
2023-03-25,Saturday,17.654761904761905,1,0,0,2,11.6,5.2,5.8,9.4,26.5,30.1,24.9
2023-03-26,Sunday,17.904761904761905,1,0,0,0,0.0,0.0,0.0,0.0,27.5,30.3,24.8
2023-03-27,Monday,22.80952380952381,0,0,0,2,30.0,13.8,23.2,27.0,26.0,27.6,22.9
2023-03-29,Wednesday,24.238095238095237,0,0,0,0,0.0,0.0,0.0,0.0,28.6,33.2,26.8
2023-03-30,Thursday,17.19047619047619,0,0,0,2,26.2,11.2,20.4,25.6,27.6,34.0,23.9
2023-03-31,Friday,21.19047619047619,0,0,0,0,0.2,0.2,0.2,0.2,27.6,30.5,24.9
2023-04-01,Saturday,17.476190476190474,1,0,0,0,0.0,0.0,0.0,0.0,27.8,31.3,26.0
2023-04-02,Sunday,18.38095238095238,1,0,0,0,0.0,0.0,0.0,0.0,28.3,32.0,26.2
2023-04-03,Monday,28.879518072289155,0,0,0,2,28.8,14.2,23.0,25.2,26.4,28.0,22.6
2023-04-05,Wednesday,36.81707317073171,0,0,0,2,20.8,16.4,19.4,20.6,27.5,30.2,22.7
2023-04-06,Thursday,38.53846153846154,0,0,0,0,0.5,0.5,0.5,0.5,28.4,30.2,26.4
2023-04-07,Friday,41.49382716049383,0,1,1,0,0.0,0.0,0.0,0.0,27.6,29.4,25.8
2023-04-08,Saturday,27.950617283950617,1,0,0,0,0.6,0.4,0.6,0.6,28.0,32.4,25.9
2023-04-09,Sunday,17.871794871794872,1,0,0,2,8.0,4.2,5.6,6.8,28.1,32.2,25.5
2023-04-10,Monday,34.1025641025641,0,0,0,0,0.0,0.0,0.0,0.0,28.2,32.0,25.6
2023-04-12,Wednesday,30.80952380952381,0,0,0,0,0.0,0.0,0.0,0.0,29.0,32.1,26.1
2023-04-13,Thursday,29.178571428571427,0,0,0,0,0.0,0.0,0.0,0.0,28.8,31.5,26.8
2023-04-14,Friday,29.392857142857142,0,0,0,0,0.0,0.0,0.0,0.0,29.1,32.6,27.0
2023-04-17,Monday,27.97530864197531,0,0,0,0,0.0,0.0,0.0,0.0,29.0,33.0,27.0
2023-04-22,Saturday,37.035714285714285,1,1,1,0,0.0,0.0,0.0,0.0,29.1,33.9,27.1
2023-04-23,Sunday,29.642857142857142,1,0,0,0,0.0,0.0,0.0,0.0,29.2,32.6,27.7
2023-04-24,Monday,45.785714285714285,0,0,0,1,3.2,2.6,2.6,2.6,29.5,33.9,25.9
2023-04-26,Wednesday,35.642857142857146,0,0,0,0,0.0,0.0,0.0,0.0,29.2,32.7,26.7
2023-04-27,Thursday,30.63095238095238,0,0,0,0,0.0,0.0,0.0,0.0,29.7,34.0,27.8
2023-04-28,Friday,33.464285714285715,0,0,0,0,2.0,1.8,2.0,2.0,28.6,33.2,27.4
2023-04-29,Saturday,41.674698795180724,1,0,0,2,7.4,6.2,6.6,7.2,28.3,32.7,25.2
2023-04-30,Sunday,41.5,1,0,0,2,12.0,10.2,11.4,11.6,27.9,32.6,25.3
2023-05-01,Monday,45.964285714285715,0,1,1,0,0.0,0.0,0.0,0.0,29.4,33.8,26.3
2023-05-03,Wednesday,50.833333333333336,0,0,0,0,0.0,0.0,0.0,0.0,29.8,33.1,27.9
2023-05-04,Thursday,33.34939759036145,0,0,0,0,0.0,0.0,0.0,0.0,29.5,34.5,27.2
2023-05-05,Friday,35.94047619047619,0,0,0,0,0.0,0.0,0.0,0.0,29.5,32.8,27.5
2023-05-06,Saturday,27.80952380952381,1,0,0,2,6.6,6.6,6.6,6.6,28.8,32.5,24.4
2023-05-07,Sunday,19.5,1,0,0,1,3.0,1.5,2.0,3.0,28.4,30.1,25.6
2023-05-08,Monday,27.464285714285715,0,0,0,0,0.2,0.2,0.2,0.2,29.8,33.3,26.2
2023-05-10,Wednesday,28.313253012048193,0,0,0,0,0.0,0.0,0.0,0.0,30.4,34.6,28.3
2023-05-11,Thursday,27.892857142857142,0,0,0,0,0.0,0.0,0.0,0.0,30.2,34.7,28.6
2023-05-12,Friday,32.04761904761905,0,0,0,0,0.0,0.0,0.0,0.0,30.3,33.7,28.3
2023-05-13,Saturday,29.05952380952381,1,0,0,0,0.0,0.0,0.0,0.0,30.0,33.2,27.6
2023-05-14,Sunday,20.6144578313253,1,0,0,0,0.0,0.0,0.0,0.0,30.4,34.3,28.3
2023-05-15,Monday,41.94047619047619,0,0,0,2,5.6,5.6,5.6,5.6,29.3,34.0,26.3
2023-05-17,Wednesday,32.285714285714285,0,0,0,0,0.0,0.0,0.0,0.0,29.0,33.3,26.9
2023-05-18,Thursday,26.011904761904763,0,0,0,0,0.0,0.0,0.0,0.0,29.5,32.5,26.2
2023-05-19,Friday,28.023809523809526,0,0,0,1,2.6,1.6,2.2,2.4,28.9,31.1,25.9
2023-05-21,Sunday,21.44047619047619,1,0,0,2,32.4,18.8,28.0,29.0,26.9,29.1,22.6
2023-05-22,Monday,35.73809523809524,0,0,0,0,0.0,0.0,0.0,0.0,29.4,32.0,27.8
2023-05-24,Wednesday,31.738095238095237,0,0,0,0,0.0,0.0,0.0,0.0,29.9,32.5,28.2
