Time,Average Wait Time,Number of Visitors,Number of New Visitors Arriving
08:00,10.0,50.0,50.0
08:05,10.0,50.0,0.0
08:10,10.0,50.0,0.0
08:15,10.0,50.0,0.0
08:20,10.0,50.0,0.0
08:25,10.0,50.0,0.0
08:30,10.0,50.0,0.0
08:35,10.0,50.0,0.0
08:40,10.0,50.0,0.0
08:45,10.0,50.0,0.0
08:50,10.0,50.0,0.0
08:55,10.0,50.0,0.0
09:00,10.0,50.0,0.0
09:05,10.0,50.0,0.0
09:10,10.0,50.0,0.0
09:15,10.0,50.0,0.0
09:20,10.0,50.0,0.0
09:25,10.0,50.0,0.0
09:30,10.0,50.0,0.0
09:35,7.0,35.0,-150.0
09:40,8.0,40.0,50.0
09:45,8.0,40.0,0.0
09:50,8.0,40.0,0.0
09:55,7.0,35.0,-50.0
10:00,7.904761904761905,39.285714285714285,40.714285714285715
10:05,8.333333333333334,41.42857142857143,21.428571428571427
10:10,9.071428571428571,45.714285714285715,42.857142857142854
10:15,10.928571428571429,54.285714285714285,85.71428571428571
10:20,12.694444444444445,64.16666666666667,91.66666666666667
10:25,12.547619047619047,62.142857142857146,0.0
10:30,13.738095238095239,68.57142857142857,64.28571428571429
10:35,14.976190476190476,74.28571428571429,57.142857142857146
10:40,16.452380952380953,82.14285714285714,78.57142857142857
10:45,18.714285714285715,93.57142857142857,114.28571428571429
10:50,20.952380952380956,105.0,114.28571428571429
10:55,21.523809523809526,107.85714285714286,28.571428571428573
11:00,21.23809523809524,106.42857142857143,70.71428571428571
11:05,22.375,111.875,62.5
11:10,23.5625,118.125,62.5
11:15,24.8125,123.75,56.25
11:20,26.541666666666668,132.5,87.5
11:25,27.229166666666668,135.625,31.25
11:30,28.229166666666668,141.25,56.25
11:35,29.083333333333332,145.0,37.5
11:40,31.809523809523807,159.28571428571428,85.71428571428571
11:45,30.854166666666668,154.375,18.75
11:50,32.0625,160.0,56.25
11:55,32.89583333333333,165.0,50.0
12:00,32.3125,161.25,-37.5
12:05,31.770833333333332,158.75,-25.0
12:10,30.88095238095238,155.0,7.142857142857143
12:15,32.895833333333336,165.0,56.25
12:20,33.5625,168.125,31.25
12:25,33.375,166.875,-12.5
12:30,33.270833333333336,166.875,0.0
12:35,35.0625,175.0,81.25
12:40,35.041666666666664,175.0,0.0
12:45,34.125,170.625,-43.75
12:50,33.625,168.75,-18.75
12:55,35.104166666666664,175.0,62.5
13:00,33.75,168.75,-62.5
13:05,34.395833333333336,171.875,31.25
13:10,34.041666666666664,170.0,-18.75
13:15,33.166666666666664,165.625,-43.75
13:20,33.4375,167.5,18.75
13:25,34.142857142857146,171.42857142857142,-21.428571428571427
13:30,31.738095238095237,158.57142857142858,-28.571428571428573
13:35,32.291666666666664,160.625,-25.0
13:40,33.0,164.375,37.5
13:45,32.416666666666664,161.875,-25.0
13:50,33.5,167.5,56.25
13:55,33.104166666666664,165.0,-25.0
14:00,32.604166666666664,162.5,-25.0
14:05,33.166666666666664,165.625,31.25
14:10,32.229166666666664,161.25,-43.75
14:15,32.625,163.125,18.75
14:20,32.791666666666664,163.75,6.25
14:25,32.833333333333336,164.375,6.25
14:30,33.541666666666664,167.5,31.25
14:35,33.0,165.0,-25.0
14:40,32.75,163.75,-12.5
14:45,32.25,161.25,-25.0
14:50,32.583333333333336,163.125,18.75
14:55,33.1875,165.625,25.0
15:00,33.291666666666664,166.25,6.25
15:05,33.041666666666664,165.0,-12.5
15:10,33.88095238095238,169.28571428571428,-14.285714285714286
15:15,32.958333333333336,165.0,12.5
15:20,32.5625,162.5,-25.0
15:25,32.645833333333336,163.75,12.5
15:30,34.07142857142857,170.0,-14.285714285714286
15:35,34.145833333333336,171.25,87.5
15:40,35.04761904761905,175.0,-28.571428571428573
15:45,33.88888888888889,169.16666666666666,-25.0
15:50,33.761904761904766,168.57142857142858,-42.857142857142854
15:55,32.208333333333336,161.25,-18.75
16:00,31.125,155.625,-56.25
16:05,30.854166666666668,153.75,-18.75
16:10,29.770833333333332,149.375,-43.75
16:15,29.666666666666668,148.125,-12.5
16:20,28.916666666666668,144.375,-37.5
16:25,28.229166666666668,141.25,-31.25
16:30,27.708333333333332,138.75,-25.0
16:35,26.895833333333332,135.0,-37.5
16:40,26.0625,130.625,-43.75
16:45,24.833333333333332,124.375,-62.5
16:50,24.229166666666668,121.25,-31.25
16:55,22.604166666666668,112.5,-87.5
17:00,22.714285714285715,113.57142857142857,-64.28571428571429
17:05,21.88095238095238,109.28571428571429,-42.857142857142854
17:10,22.476190476190478,112.14285714285714,28.571428571428573
17:15,21.309523809523807,106.42857142857143,-57.142857142857146
17:20,23.61111111111111,118.33333333333333,75.0
17:25,23.61904761904762,117.85714285714286,50.0
17:30,22.976190476190478,114.28571428571429,-35.714285714285715
17:35,25.166666666666668,125.83333333333333,25.0
17:40,24.333333333333332,121.66666666666667,-41.666666666666664
17:45,23.388888888888886,116.66666666666667,-50.0
17:50,23.361111111111114,116.66666666666667,0.0
17:55,23.194444444444446,116.66666666666667,0.0
18:00,24.433333333333334,123.0,-30.0
18:05,24.666666666666664,123.0,0.0
18:10,24.366666666666667,121.0,-20.0
18:15,22.233333333333334,111.0,-100.0
18:20,22.0,110.0,-10.0
18:25,20.833333333333336,105.0,-50.0
18:30,20.766666666666666,103.0,-20.0
18:35,19.666666666666664,98.0,-50.0
18:40,18.2,91.0,-70.0
18:45,18.733333333333334,94.0,30.0
18:50,18.666666666666664,93.0,-10.0
18:55,17.8,89.0,-40.0
19:00,16.75,83.75,-12.5
19:05,16.166666666666668,81.25,-25.0
19:10,15.666666666666668,78.75,-25.0
19:15,14.75,73.75,-50.0
19:20,14.625,72.5,-12.5
19:25,14.583333333333332,72.5,0.0
19:30,12.033333333333333,60.0,-100.0
19:35,11.633333333333333,58.0,-20.0
19:40,11.0,55.0,-30.0
19:45,12.9,64.0,90.0
19:50,14.033333333333331,70.0,60.0
19:55,15.966666666666669,79.0,90.0
20:00,29.0,145.0,275.0
20:05,32.5,162.5,175.0
20:10,32.5,162.5,0.0
20:15,33.5,167.5,50.0
20:20,34.0,170.0,25.0
20:25,32.0,160.0,-100.0
20:30,33.0,165.0,50.0
20:35,33.0,165.0,0.0
20:40,32.0,160.0,-50.0
20:45,32.0,160.0,0.0
20:50,33.0,165.0,50.0
20:55,34.0,170.0,50.0
