Time,Average Wait Time,Number of Visitors,Number of New Visitors Arriving
08:00,10.0,50.0,50.0
08:05,10.142857142857142,50.0,0.0
08:10,10.285714285714285,52.5,100.0
08:15,10.285714285714285,52.5,0.0
08:20,10.285714285714285,52.5,0.0
08:25,10.125,50.0,-100.0
08:30,10.125,50.0,0.0
08:35,10.125,50.0,0.0
08:40,10.0,50.0,0.0
08:45,10.0,50.0,0.0
08:50,10.0,50.0,0.0
08:55,10.0,50.0,0.0
09:00,10.0,50.0,0.0
09:05,10.0,50.0,0.0
09:10,10.0,50.0,0.0
09:15,10.0,50.0,0.0
09:20,9.928571428571429,50.0,0.0
09:25,9.928571428571429,50.0,0.0
09:30,9.75,50.0,0.0
09:35,8.3125,42.5,-300.0
09:40,8.5,40.0,-100.0
09:45,8.0625,40.0,0.0
09:50,7.4375,37.5,-100.0
09:55,7.4375,37.5,0.0
10:00,7.1969047619047615,35.0,27.5
10:05,7.500535714285715,37.5,100.0
10:10,8.12845238095238,41.0,140.0
10:15,8.965416666666666,45.0,160.0
10:20,10.016666666666666,50.0,200.0
10:25,10.783511904761905,53.5,140.0
10:30,11.848333333333333,59.5,240.0
10:35,12.95732142857143,65.5,240.0
10:40,13.879166666666666,69.0,140.0
10:45,14.835833333333332,74.0,200.0
10:50,15.939940476190477,79.0,200.0
10:55,16.745595238095238,84.0,200.0
11:00,17.013257575757578,85.45454545454545,204.0909090909091
11:05,17.94112554112554,89.54545454545455,163.63636363636363
11:10,18.648647186147187,93.18181818181819,145.45454545454547
11:15,19.311363636363637,97.27272727272727,163.63636363636363
11:20,20.323214285714286,102.27272727272727,200.0
11:25,21.059469696969696,105.45454545454545,127.27272727272727
11:30,21.441504329004328,106.81818181818181,54.54545454545455
11:35,22.184145021645023,111.81818181818181,200.0
11:40,23.7383658008658,118.63636363636364,272.72727272727275
11:45,24.72683982683983,123.18181818181819,181.8181818181818
11:50,24.633766233766234,123.18181818181819,0.0
11:55,24.700865800865802,123.63636363636364,18.181818181818183
12:00,25.081547619047623,125.0,54.54545454545455
12:05,26.092748917748917,130.9090909090909,236.36363636363637
12:10,26.782196969696972,134.0909090909091,127.27272727272727
12:15,26.921753246753248,135.0,36.36363636363637
12:20,27.434036796536795,136.36363636363637,54.54545454545455
12:25,27.813311688311686,139.0909090909091,109.0909090909091
12:30,28.442099567099568,142.27272727272728,127.27272727272727
12:35,28.48998917748918,143.1818181818182,36.36363636363637
12:40,28.73051948051948,142.72727272727272,-18.181818181818183
12:45,28.845887445887445,144.0909090909091,54.54545454545455
12:50,28.820887445887447,143.1818181818182,-36.36363636363637
12:55,28.84507575757576,144.0909090909091,36.36363636363637
13:00,28.4978354978355,143.1818181818182,-36.36363636363637
13:05,28.274458874458876,140.9090909090909,-90.9090909090909
13:10,28.89853896103896,144.54545454545453,145.45454545454547
13:15,28.522943722943726,142.72727272727272,-72.72727272727273
13:20,28.13014069264069,140.45454545454547,-90.9090909090909
13:25,27.730411255411255,138.1818181818182,-90.9090909090909
13:30,27.293939393939397,136.36363636363637,-72.72727272727273
13:35,26.586417748917746,133.63636363636363,-109.0909090909091
13:40,26.7892316017316,133.1818181818182,-18.181818181818183
13:45,26.3982683982684,131.8181818181818,-54.54545454545455
13:50,26.53327922077922,133.1818181818182,54.54545454545455
13:55,26.79788961038961,133.63636363636363,18.181818181818183
14:00,27.095508658008658,135.9090909090909,90.9090909090909
14:05,27.285064935064938,135.9090909090909,0.0
14:10,28.011363636363637,139.54545454545453,145.45454545454547
14:15,28.326839826839826,140.9090909090909,54.54545454545455
14:20,28.67072510822511,143.63636363636363,109.0909090909091
14:25,28.441829004329005,142.27272727272728,-54.54545454545455
14:30,28.36038961038961,141.36363636363637,-36.36363636363637
14:35,28.638528138528137,143.63636363636363,90.9090909090909
14:40,28.7594696969697,144.0909090909091,18.181818181818183
14:45,28.945616883116884,145.0,36.36363636363637
14:50,28.736742424242426,143.63636363636363,-54.54545454545455
14:55,28.6228354978355,142.72727272727272,-36.36363636363637
15:00,28.510822510822507,142.72727272727272,0.0
15:05,28.46103896103896,142.72727272727272,0.0
15:10,28.91504329004329,144.54545454545453,72.72727272727273
15:15,28.45649350649351,142.72727272727272,-72.72727272727273
15:20,28.461663336663335,142.27272727272728,-18.181818181818183
15:25,28.12245670995671,141.36363636363637,-36.36363636363637
15:30,27.94805194805195,139.54545454545453,-72.72727272727273
15:35,27.6801948051948,138.1818181818182,-54.54545454545455
15:40,26.931277056277054,133.63636363636363,-181.8181818181818
15:45,26.91374458874459,134.54545454545453,36.36363636363637
15:50,26.317099567099568,132.27272727272728,-90.9090909090909
15:55,25.810064935064933,129.0909090909091,-127.27272727272727
16:00,25.78679653679654,128.1818181818182,-36.36363636363637
16:05,25.487824675324678,127.27272727272727,-36.36363636363637
16:10,25.538528138528136,127.72727272727273,18.181818181818183
16:15,24.93176406926407,124.54545454545455,-127.27272727272727
16:20,24.83203463203463,124.0909090909091,-18.181818181818183
16:25,24.417207792207794,121.81818181818181,-90.9090909090909
16:30,23.861471861471863,119.0909090909091,-109.0909090909091
16:35,23.484307359307362,117.72727272727273,-54.54545454545455
16:40,23.274350649350648,116.36363636363636,-54.54545454545455
16:45,22.916396103896105,115.0,-54.54545454545455
16:50,22.54296536796537,113.18181818181819,-72.72727272727273
16:55,21.515692640692638,107.27272727272727,-236.36363636363637
17:00,21.980238095238096,110.0,40.0
17:05,21.454166666666666,106.5,-140.0
17:10,21.69404761904762,109.0,100.0
17:15,21.230357142857144,105.5,-140.0
17:20,21.711904761904762,108.5,120.0
17:25,21.261904761904763,106.0,-100.0
17:30,21.926666666666666,109.5,140.0
17:35,21.734285714285715,108.0,-60.0
17:40,20.752380952380953,104.0,-160.0
17:45,20.332738095238096,102.0,-80.0
17:50,19.73392857142857,98.0,-160.0
17:55,19.247142857142855,96.5,-60.0
18:00,19.317708333333336,97.5,-75.0
18:05,18.661458333333332,94.375,-125.0
18:10,18.316220238095237,92.5,-75.0
18:15,17.867559523809526,90.0,-100.0
18:20,17.436755952380953,87.5,-100.0
18:25,16.674107142857142,83.125,-175.0
18:30,16.214285714285715,80.625,-100.0
18:35,15.61235119047619,78.125,-100.0
18:40,14.599107142857143,71.875,-250.0
18:45,14.329017857142858,71.875,0.0
18:50,13.64657738095238,68.75,-125.0
18:55,13.351934523809524,66.25,-100.0
19:00,13.434523809523808,66.42857142857143,85.71428571428571
19:05,13.232142857142858,65.71428571428571,-28.571428571428573
19:10,13.006944444444443,65.0,-133.33333333333334
19:15,12.11734693877551,60.714285714285715,-85.71428571428571
19:20,11.414965986394558,56.42857142857143,-171.42857142857142
19:25,11.151360544217686,55.714285714285715,-28.571428571428573
19:30,10.133522727272727,51.25,-350.0
19:35,10.024147727272727,51.25,0.0
19:40,9.845238095238095,49.375,-75.0
19:45,10.075,51.25,75.0
19:50,10.633608058608058,53.75,100.0
19:55,11.14047619047619,56.25,100.0
20:00,25.384615384615383,125.0,600.0
20:05,28.76923076923077,145.0,800.0
20:10,32.69230769230769,165.0,800.0
20:15,34.15384615384615,170.0,200.0
20:20,35.69230769230769,180.0,400.0
20:25,36.53846153846154,185.0,200.0
20:30,37.730769230769226,187.5,2100.0
20:35,38.269230769230774,192.5,200.0
20:40,35.5,177.5,-600.0
20:45,35.61538461538461,177.5,0.0
20:50,35.46153846153846,177.5,0.0
20:55,36.57692307692308,182.5,200.0
21:00,35.30769230769231,177.5,-200.0
21:05,36.61538461538461,182.5,200.0
21:10,38.11538461538461,190.0,300.0
21:15,39.42307692307692,197.5,300.0
21:20,39.07692307692308,195.0,-100.0
21:25,39.19230769230769,195.0,0.0
21:30,38.96153846153846,195.0,0.0
21:35,38.0,190.0,-200.0
21:40,36.88461538461539,185.0,-200.0
21:45,35.269230769230774,177.5,-300.0
21:50,34.96153846153846,175.0,-100.0
21:55,34.19230769230769,170.0,-200.0
22:00,34.19230769230769,170.0,0.0
22:05,33.34615384615385,167.5,-100.0
22:10,32.92307692307692,165.0,-100.0
22:15,31.076923076923077,155.0,-400.0
22:20,30.423076923076923,152.5,-100.0
22:25,30.115384615384617,150.0,-100.0
22:30,28.423076923076923,142.5,-300.0
22:35,28.692307692307693,142.5,0.0
22:40,29.423076923076923,147.5,200.0
22:45,30.307692307692307,152.5,200.0
22:50,30.73076923076923,152.5,0.0
22:55,31.076923076923077,155.0,100.0
23:00,30.73076923076923,152.5,-100.0
23:05,30.26923076923077,152.5,0.0
23:10,30.03846153846154,150.0,-100.0
23:15,29.884615384615383,150.0,0.0
23:20,29.884615384615383,150.0,0.0
23:25,27.346153846153847,137.5,-500.0
23:30,27.26923076923077,137.5,0.0
23:35,28.192307692307693,140.0,100.0
23:40,27.807692307692307,140.0,0.0
23:45,27.576923076923077,137.5,-100.0
23:50,26.846153846153847,135.0,-100.0
