Park,Date/Time,Wait Time
Universal Studios Singapore,2023-09-01 15:55:00,41
Universal Studios Singapore,2023-09-01 16:00:00,36
Universal Studios Singapore,2023-09-01 16:05:00,36
Universal Studios Singapore,2023-09-01 16:10:00,36
Universal Studios Singapore,2023-09-01 16:15:00,36
Universal Studios Singapore,2023-09-01 16:20:00,36
Universal Studios Singapore,2023-09-01 16:25:00,35
Universal Studios Singapore,2023-09-01 16:30:00,34
Universal Studios Singapore,2023-09-01 16:35:00,34
Universal Studios Singapore,2023-09-01 16:40:00,35
Universal Studios Singapore,2023-09-01 16:45:00,35
Universal Studios Singapore,2023-09-01 16:50:00,35
Universal Studios Singapore,2023-09-01 16:55:00,32
Universal Studios Singapore,2023-09-01 17:00:00,32
Universal Studios Singapore,2023-09-01 17:05:00,32
Universal Studios Singapore,2023-09-01 17:10:00,32
Universal Studios Singapore,2023-09-01 17:15:00,32
Universal Studios Singapore,2023-09-01 17:20:00,32
Universal Studios Singapore,2023-09-01 17:25:00,32
Universal Studios Singapore,2023-09-01 17:30:00,31
Universal Studios Singapore,2023-09-01 17:35:00,31
Universal Studios Singapore,2023-09-01 17:40:00,31
Universal Studios Singapore,2023-09-01 17:45:00,30
Universal Studios Singapore,2023-09-01 17:50:00,29
Universal Studios Singapore,2023-09-01 17:55:00,29
Universal Studios Singapore,2023-09-02 11:00:00,8
Universal Studios Singapore,2023-09-02 11:05:00,8
Universal Studios Singapore,2023-09-02 11:10:00,9
Universal Studios Singapore,2023-09-02 11:15:00,11
Universal Studios Singapore,2023-09-02 11:20:00,12
Universal Studios Singapore,2023-09-02 11:25:00,16
Universal Studios Singapore,2023-09-02 11:30:00,19
Universal Studios Singapore,2023-09-02 11:35:00,19
Universal Studios Singapore,2023-09-02 11:40:00,20
Universal Studios Singapore,2023-09-02 11:45:00,20
Universal Studios Singapore,2023-09-02 11:50:00,24
Universal Studios Singapore,2023-09-02 11:55:00,24
Universal Studios Singapore,2023-09-02 12:00:00,24
Universal Studios Singapore,2023-09-02 12:05:00,23
Universal Studios Singapore,2023-09-02 12:10:00,23
Universal Studios Singapore,2023-09-02 12:15:00,25
Universal Studios Singapore,2023-09-02 12:20:00,25
Universal Studios Singapore,2023-09-02 12:25:00,28
Universal Studios Singapore,2023-09-02 12:30:00,28
Universal Studios Singapore,2023-09-02 12:35:00,28
Universal Studios Singapore,2023-09-02 12:40:00,31
Universal Studios Singapore,2023-09-02 12:45:00,32
Universal Studios Singapore,2023-09-02 12:50:00,31
Universal Studios Singapore,2023-09-02 12:55:00,32
Universal Studios Singapore,2023-09-02 13:00:00,32
Universal Studios Singapore,2023-09-02 13:05:00,32
Universal Studios Singapore,2023-09-02 13:10:00,31
Universal Studios Singapore,2023-09-02 13:15:00,31
Universal Studios Singapore,2023-09-02 13:20:00,30
Universal Studios Singapore,2023-09-02 13:25:00,30
Universal Studios Singapore,2023-09-02 13:30:00,30
Universal Studios Singapore,2023-09-02 13:35:00,30
Universal Studios Singapore,2023-09-02 13:40:00,30
Universal Studios Singapore,2023-09-02 13:45:00,27
Universal Studios Singapore,2023-09-02 13:50:00,27
Universal Studios Singapore,2023-09-02 13:55:00,26
Universal Studios Singapore,2023-09-02 14:00:00,26
Universal Studios Singapore,2023-09-02 14:05:00,27
Universal Studios Singapore,2023-09-02 14:10:00,26
Universal Studios Singapore,2023-09-02 14:15:00,28
Universal Studios Singapore,2023-09-02 14:20:00,31
Universal Studios Singapore,2023-09-02 14:25:00,31
Universal Studios Singapore,2023-09-02 14:30:00,29
Universal Studios Singapore,2023-09-02 14:35:00,29
Universal Studios Singapore,2023-09-02 14:40:00,29
Universal Studios Singapore,2023-09-02 14:45:00,30
Universal Studios Singapore,2023-09-02 14:50:00,30
Universal Studios Singapore,2023-09-02 14:55:00,31
Universal Studios Singapore,2023-09-02 15:00:00,31
Universal Studios Singapore,2023-09-02 15:05:00,31
Universal Studios Singapore,2023-09-02 15:15:00,28
Universal Studios Singapore,2023-09-02 15:20:00,27
Universal Studios Singapore,2023-09-02 15:25:00,27
Universal Studios Singapore,2023-09-02 15:30:00,29
Universal Studios Singapore,2023-09-02 15:35:00,26
Universal Studios Singapore,2023-09-02 15:40:00,26
Universal Studios Singapore,2023-09-02 15:45:00,25
Universal Studios Singapore,2023-09-02 15:50:00,25
Universal Studios Singapore,2023-09-02 15:55:00,25
Universal Studios Singapore,2023-09-02 16:00:00,25
Universal Studios Singapore,2023-09-02 16:05:00,26
Universal Studios Singapore,2023-09-02 16:10:00,25
Universal Studios Singapore,2023-09-02 16:15:00,25
Universal Studios Singapore,2023-09-02 16:20:00,24
Universal Studios Singapore,2023-09-02 16:25:00,22
Universal Studios Singapore,2023-09-02 16:30:00,22
Universal Studios Singapore,2023-09-02 16:35:00,22
Universal Studios Singapore,2023-09-02 16:40:00,22
Universal Studios Singapore,2023-09-02 16:45:00,19
Universal Studios Singapore,2023-09-02 16:50:00,19
Universal Studios Singapore,2023-09-02 16:55:00,19
Universal Studios Singapore,2023-09-02 17:00:00,19
Universal Studios Singapore,2023-09-02 17:05:00,19
Universal Studios Singapore,2023-09-02 17:10:00,18
Universal Studios Singapore,2023-09-02 17:15:00,18
Universal Studios Singapore,2023-09-02 17:20:00,18
Universal Studios Singapore,2023-09-02 17:25:00,18
Universal Studios Singapore,2023-09-02 17:30:00,16
Universal Studios Singapore,2023-09-02 17:35:00,16
Universal Studios Singapore,2023-09-02 17:40:00,16
Universal Studios Singapore,2023-09-02 17:45:00,15
Universal Studios Singapore,2023-09-02 17:50:00,15
Universal Studios Singapore,2023-09-02 17:55:00,9
Universal Studios Singapore,2023-09-03 11:00:00,7
Universal Studios Singapore,2023-09-03 11:05:00,7
Universal Studios Singapore,2023-09-03 11:10:00,8
Universal Studios Singapore,2023-09-03 11:15:00,8
Universal Studios Singapore,2023-09-03 11:20:00,10
Universal Studios Singapore,2023-09-03 11:25:00,10
Universal Studios Singapore,2023-09-03 11:30:00,10
Universal Studios Singapore,2023-09-03 11:35:00,10
Universal Studios Singapore,2023-09-03 11:40:00,10
Universal Studios Singapore,2023-09-03 11:45:00,13
Universal Studios Singapore,2023-09-03 11:50:00,16
Universal Studios Singapore,2023-09-03 11:55:00,19
Universal Studios Singapore,2023-09-03 12:00:00,21
Universal Studios Singapore,2023-09-03 12:05:00,23
Universal Studios Singapore,2023-09-03 12:10:00,27
Universal Studios Singapore,2023-09-03 12:15:00,27
Universal Studios Singapore,2023-09-03 12:20:00,29
Universal Studios Singapore,2023-09-03 12:25:00,29
Universal Studios Singapore,2023-09-03 12:30:00,28
Universal Studios Singapore,2023-09-03 12:35:00,28
Universal Studios Singapore,2023-09-03 12:40:00,27
Universal Studios Singapore,2023-09-03 12:45:00,28
Universal Studios Singapore,2023-09-03 12:50:00,28
Universal Studios Singapore,2023-09-03 12:55:00,28
Universal Studios Singapore,2023-09-03 13:00:00,28
Universal Studios Singapore,2023-09-03 13:05:00,29
Universal Studios Singapore,2023-09-03 13:10:00,27
Universal Studios Singapore,2023-09-03 13:15:00,28
Universal Studios Singapore,2023-09-03 13:20:00,28
Universal Studios Singapore,2023-09-03 13:25:00,28
Universal Studios Singapore,2023-09-03 13:30:00,24
Universal Studios Singapore,2023-09-03 13:35:00,24
Universal Studios Singapore,2023-09-03 13:40:00,26
Universal Studios Singapore,2023-09-03 13:45:00,25
Universal Studios Singapore,2023-09-03 13:50:00,25
Universal Studios Singapore,2023-09-03 13:55:00,24
Universal Studios Singapore,2023-09-03 14:00:00,24
Universal Studios Singapore,2023-09-03 14:05:00,25
Universal Studios Singapore,2023-09-03 14:10:00,27
Universal Studios Singapore,2023-09-03 14:15:00,28
Universal Studios Singapore,2023-09-03 14:20:00,24
Universal Studios Singapore,2023-09-03 14:25:00,25
Universal Studios Singapore,2023-09-03 14:30:00,22
Universal Studios Singapore,2023-09-03 14:35:00,22
Universal Studios Singapore,2023-09-03 14:40:00,23
Universal Studios Singapore,2023-09-03 14:45:00,24
Universal Studios Singapore,2023-09-03 14:50:00,24
Universal Studios Singapore,2023-09-03 14:55:00,24
Universal Studios Singapore,2023-09-03 15:00:00,24
Universal Studios Singapore,2023-09-03 15:05:00,24
Universal Studios Singapore,2023-09-03 15:10:00,23
Universal Studios Singapore,2023-09-03 15:15:00,22
Universal Studios Singapore,2023-09-03 15:20:00,21
Universal Studios Singapore,2023-09-03 15:25:00,21
Universal Studios Singapore,2023-09-03 15:30:00,20
Universal Studios Singapore,2023-09-03 15:35:00,18
Universal Studios Singapore,2023-09-03 15:40:00,18
Universal Studios Singapore,2023-09-03 15:45:00,18
Universal Studios Singapore,2023-09-03 15:50:00,18
Universal Studios Singapore,2023-09-03 15:55:00,18
Universal Studios Singapore,2023-09-03 16:00:00,15
Universal Studios Singapore,2023-09-03 16:05:00,15
Universal Studios Singapore,2023-09-03 16:10:00,15
Universal Studios Singapore,2023-09-03 16:15:00,15
Universal Studios Singapore,2023-09-03 16:20:00,15
Universal Studios Singapore,2023-09-03 16:25:00,13
Universal Studios Singapore,2023-09-03 16:30:00,12
Universal Studios Singapore,2023-09-03 16:35:00,13
Universal Studios Singapore,2023-09-03 16:40:00,13
Universal Studios Singapore,2023-09-03 16:45:00,14
Universal Studios Singapore,2023-09-03 16:50:00,14
Universal Studios Singapore,2023-09-03 16:55:00,14
Universal Studios Singapore,2023-09-03 17:00:00,15
Universal Studios Singapore,2023-09-03 17:05:00,15
Universal Studios Singapore,2023-09-03 17:10:00,13
Universal Studios Singapore,2023-09-03 17:15:00,12
Universal Studios Singapore,2023-09-03 17:20:00,12
Universal Studios Singapore,2023-09-03 17:25:00,11
Universal Studios Singapore,2023-09-03 17:30:00,11
Universal Studios Singapore,2023-09-03 17:35:00,11
Universal Studios Singapore,2023-09-03 17:40:00,11
Universal Studios Singapore,2023-09-03 17:45:00,11
Universal Studios Singapore,2023-09-03 17:50:00,11
Universal Studios Singapore,2023-09-03 17:55:00,11
Universal Studios Singapore,2023-09-04 11:00:00,7
Universal Studios Singapore,2023-09-04 11:05:00,7
Universal Studios Singapore,2023-09-04 11:10:00,11
Universal Studios Singapore,2023-09-04 11:15:00,11
Universal Studios Singapore,2023-09-04 11:20:00,14
Universal Studios Singapore,2023-09-04 11:25:00,14
Universal Studios Singapore,2023-09-04 11:30:00,16
Universal Studios Singapore,2023-09-04 11:35:00,17
Universal Studios Singapore,2023-09-04 11:40:00,19
Universal Studios Singapore,2023-09-04 11:45:00,18
Universal Studios Singapore,2023-09-04 11:50:00,19
Universal Studios Singapore,2023-09-04 11:55:00,21
Universal Studios Singapore,2023-09-04 12:00:00,22
Universal Studios Singapore,2023-09-04 12:05:00,22
Universal Studios Singapore,2023-09-04 12:10:00,22
Universal Studios Singapore,2023-09-04 12:15:00,23
Universal Studios Singapore,2023-09-04 12:20:00,25
Universal Studios Singapore,2023-09-04 12:25:00,26
Universal Studios Singapore,2023-09-04 12:30:00,27
Universal Studios Singapore,2023-09-04 12:35:00,29
Universal Studios Singapore,2023-09-04 12:40:00,29
Universal Studios Singapore,2023-09-04 12:45:00,32
Universal Studios Singapore,2023-09-04 12:50:00,32
Universal Studios Singapore,2023-09-04 12:55:00,33
Universal Studios Singapore,2023-09-04 13:00:00,33
Universal Studios Singapore,2023-09-04 13:05:00,33
Universal Studios Singapore,2023-09-04 13:10:00,37
Universal Studios Singapore,2023-09-04 13:15:00,37
Universal Studios Singapore,2023-09-04 13:20:00,37
Universal Studios Singapore,2023-09-04 13:25:00,37
Universal Studios Singapore,2023-09-04 13:30:00,36
Universal Studios Singapore,2023-09-04 13:35:00,36
Universal Studios Singapore,2023-09-04 13:40:00,34
Universal Studios Singapore,2023-09-04 13:45:00,34
Universal Studios Singapore,2023-09-04 13:50:00,34
Universal Studios Singapore,2023-09-04 13:55:00,34
Universal Studios Singapore,2023-09-04 14:00:00,34
Universal Studios Singapore,2023-09-04 14:05:00,33
Universal Studios Singapore,2023-09-04 14:10:00,32
Universal Studios Singapore,2023-09-04 14:15:00,31
Universal Studios Singapore,2023-09-04 14:20:00,32
Universal Studios Singapore,2023-09-04 14:25:00,32
Universal Studios Singapore,2023-09-04 14:30:00,32
Universal Studios Singapore,2023-09-04 14:35:00,32
Universal Studios Singapore,2023-09-04 14:40:00,32
Universal Studios Singapore,2023-09-04 14:45:00,31
Universal Studios Singapore,2023-09-04 14:50:00,31
Universal Studios Singapore,2023-09-04 14:55:00,31
Universal Studios Singapore,2023-09-04 15:00:00,29
Universal Studios Singapore,2023-09-04 15:05:00,29
Universal Studios Singapore,2023-09-04 15:10:00,25
Universal Studios Singapore,2023-09-04 15:15:00,24
Universal Studios Singapore,2023-09-04 15:20:00,30
Universal Studios Singapore,2023-09-04 15:25:00,30
Universal Studios Singapore,2023-09-04 15:30:00,32
Universal Studios Singapore,2023-09-04 15:35:00,32
Universal Studios Singapore,2023-09-04 15:40:00,32
Universal Studios Singapore,2023-09-04 15:45:00,32
Universal Studios Singapore,2023-09-04 15:50:00,32
Universal Studios Singapore,2023-09-04 15:55:00,32
Universal Studios Singapore,2023-09-04 16:00:00,31
Universal Studios Singapore,2023-09-04 16:05:00,31
Universal Studios Singapore,2023-09-04 16:10:00,31
Universal Studios Singapore,2023-09-04 16:15:00,30
Universal Studios Singapore,2023-09-04 16:20:00,29
Universal Studios Singapore,2023-09-04 16:25:00,29
Universal Studios Singapore,2023-09-04 16:30:00,26
Universal Studios Singapore,2023-09-04 16:35:00,26
Universal Studios Singapore,2023-09-04 16:40:00,26
Universal Studios Singapore,2023-09-04 16:45:00,27
Universal Studios Singapore,2023-09-04 16:50:00,27
Universal Studios Singapore,2023-09-04 16:55:00,25
Universal Studios Singapore,2023-09-04 17:00:00,25
