Park,Date/Time,Wait Time
Universal Studios Singapore,2023-11-06 14:10:00,21
Universal Studios Singapore,2023-11-06 14:15:00,21
Universal Studios Singapore,2023-11-06 14:20:00,23
Universal Studios Singapore,2023-11-06 14:25:00,22
Universal Studios Singapore,2023-11-06 14:30:00,23
Universal Studios Singapore,2023-11-06 14:35:00,24
Universal Studios Singapore,2023-11-06 14:40:00,22
Universal Studios Singapore,2023-11-06 14:45:00,23
Universal Studios Singapore,2023-11-06 14:50:00,24
Universal Studios Singapore,2023-11-06 14:55:00,22
Universal Studios Singapore,2023-11-06 15:00:00,22
Universal Studios Singapore,2023-11-06 15:05:00,22
Universal Studios Singapore,2023-11-06 15:10:00,21
Universal Studios Singapore,2023-11-06 15:15:00,21
Universal Studios Singapore,2023-11-06 15:20:00,21
Universal Studios Singapore,2023-11-06 15:25:00,21
Universal Studios Singapore,2023-11-06 15:30:00,21
Universal Studios Singapore,2023-11-06 15:35:00,22
Universal Studios Singapore,2023-11-06 15:40:00,22
Universal Studios Singapore,2023-11-06 15:45:00,22
Universal Studios Singapore,2023-11-06 15:50:00,23
Universal Studios Singapore,2023-11-06 15:55:00,23
Universal Studios Singapore,2023-11-06 16:05:00,21
Universal Studios Singapore,2023-11-06 16:10:00,21
Universal Studios Singapore,2023-11-06 16:20:00,19
Universal Studios Singapore,2023-11-06 16:25:00,18
Universal Studios Singapore,2023-11-06 16:30:00,18
Universal Studios Singapore,2023-11-06 16:35:00,17
Universal Studios Singapore,2023-11-06 16:40:00,17
Universal Studios Singapore,2023-11-06 16:55:00,20
Universal Studios Singapore,2023-11-06 17:00:00,20
Universal Studios Singapore,2023-11-06 17:05:00,20
Universal Studios Singapore,2023-11-06 17:10:00,20
Universal Studios Singapore,2023-11-06 17:15:00,19
Universal Studios Singapore,2023-11-06 17:20:00,16
Universal Studios Singapore,2023-11-06 17:25:00,15
Universal Studios Singapore,2023-11-06 17:30:00,15
Universal Studios Singapore,2023-11-06 17:35:00,14
Universal Studios Singapore,2023-11-06 17:40:00,14
Universal Studios Singapore,2023-11-06 17:45:00,14
Universal Studios Singapore,2023-11-06 17:50:00,14
Universal Studios Singapore,2023-11-06 17:55:00,13
Universal Studios Singapore,2023-11-07 11:00:00,7
Universal Studios Singapore,2023-11-07 11:05:00,8
Universal Studios Singapore,2023-11-07 11:10:00,8
Universal Studios Singapore,2023-11-07 11:15:00,11
Universal Studios Singapore,2023-11-07 11:20:00,11
Universal Studios Singapore,2023-11-07 11:25:00,11
Universal Studios Singapore,2023-11-07 11:30:00,12
Universal Studios Singapore,2023-11-07 11:35:00,13
Universal Studios Singapore,2023-11-07 11:40:00,13
Universal Studios Singapore,2023-11-07 11:45:00,13
Universal Studios Singapore,2023-11-07 11:50:00,12
Universal Studios Singapore,2023-11-07 11:55:00,12
Universal Studios Singapore,2023-11-07 12:00:00,12
Universal Studios Singapore,2023-11-07 12:05:00,11
Universal Studios Singapore,2023-11-07 12:10:00,13
Universal Studios Singapore,2023-11-07 12:15:00,13
Universal Studios Singapore,2023-11-07 12:20:00,15
Universal Studios Singapore,2023-11-07 12:25:00,15
Universal Studios Singapore,2023-11-07 12:30:00,15
Universal Studios Singapore,2023-11-07 12:35:00,15
Universal Studios Singapore,2023-11-07 12:40:00,15
Universal Studios Singapore,2023-11-07 12:45:00,15
Universal Studios Singapore,2023-11-07 12:50:00,15
Universal Studios Singapore,2023-11-07 12:55:00,14
Universal Studios Singapore,2023-11-07 13:00:00,15
Universal Studios Singapore,2023-11-07 13:05:00,15
Universal Studios Singapore,2023-11-07 13:10:00,14
Universal Studios Singapore,2023-11-07 13:15:00,13
Universal Studios Singapore,2023-11-07 13:20:00,13
Universal Studios Singapore,2023-11-07 13:25:00,13
Universal Studios Singapore,2023-11-07 13:30:00,13
Universal Studios Singapore,2023-11-07 13:35:00,13
Universal Studios Singapore,2023-11-07 13:40:00,13
Universal Studios Singapore,2023-11-07 13:45:00,11
Universal Studios Singapore,2023-11-07 13:50:00,11
Universal Studios Singapore,2023-11-07 13:55:00,12
Universal Studios Singapore,2023-11-07 14:00:00,12
Universal Studios Singapore,2023-11-07 14:05:00,12
Universal Studios Singapore,2023-11-07 14:10:00,11
Universal Studios Singapore,2023-11-07 14:15:00,11
Universal Studios Singapore,2023-11-07 14:20:00,11
Universal Studios Singapore,2023-11-07 14:25:00,11
Universal Studios Singapore,2023-11-07 14:30:00,11
Universal Studios Singapore,2023-11-07 14:35:00,11
Universal Studios Singapore,2023-11-07 14:40:00,11
Universal Studios Singapore,2023-11-07 14:45:00,11
Universal Studios Singapore,2023-11-07 14:50:00,11
Universal Studios Singapore,2023-11-07 14:55:00,11
Universal Studios Singapore,2023-11-07 15:00:00,12
Universal Studios Singapore,2023-11-07 15:05:00,12
Universal Studios Singapore,2023-11-07 15:10:00,11
Universal Studios Singapore,2023-11-07 15:15:00,11
Universal Studios Singapore,2023-11-07 15:20:00,11
Universal Studios Singapore,2023-11-07 15:25:00,11
Universal Studios Singapore,2023-11-07 15:30:00,11
Universal Studios Singapore,2023-11-07 15:35:00,11
Universal Studios Singapore,2023-11-07 15:40:00,11
Universal Studios Singapore,2023-11-07 15:45:00,11
Universal Studios Singapore,2023-11-07 15:50:00,11
Universal Studios Singapore,2023-11-07 15:55:00,11
Universal Studios Singapore,2023-11-07 16:00:00,11
Universal Studios Singapore,2023-11-07 16:05:00,11
Universal Studios Singapore,2023-11-07 16:10:00,7
Universal Studios Singapore,2023-11-07 16:15:00,7
Universal Studios Singapore,2023-11-07 16:20:00,8
Universal Studios Singapore,2023-11-07 16:25:00,8
Universal Studios Singapore,2023-11-07 16:30:00,8
Universal Studios Singapore,2023-11-07 16:35:00,8
Universal Studios Singapore,2023-11-07 16:40:00,8
Universal Studios Singapore,2023-11-07 16:45:00,8
Universal Studios Singapore,2023-11-07 16:50:00,8
Universal Studios Singapore,2023-11-07 16:55:00,8
Universal Studios Singapore,2023-11-07 17:00:00,8
Universal Studios Singapore,2023-11-07 17:05:00,8
Universal Studios Singapore,2023-11-07 17:10:00,8
Universal Studios Singapore,2023-11-07 17:15:00,8
Universal Studios Singapore,2023-11-07 17:20:00,8
Universal Studios Singapore,2023-11-07 17:25:00,8
Universal Studios Singapore,2023-11-07 17:30:00,8
Universal Studios Singapore,2023-11-07 17:35:00,8
Universal Studios Singapore,2023-11-07 17:40:00,8
Universal Studios Singapore,2023-11-07 17:45:00,7
Universal Studios Singapore,2023-11-07 17:50:00,7
Universal Studios Singapore,2023-11-07 17:55:00,7
Universal Studios Singapore,2023-11-08 11:00:00,7
Universal Studios Singapore,2023-11-08 11:05:00,9
Universal Studios Singapore,2023-11-08 11:10:00,10
Universal Studios Singapore,2023-11-08 11:15:00,10
Universal Studios Singapore,2023-11-08 11:20:00,12
Universal Studios Singapore,2023-11-08 11:25:00,12
Universal Studios Singapore,2023-11-08 11:30:00,12
Universal Studios Singapore,2023-11-08 11:35:00,12
Universal Studios Singapore,2023-11-08 11:40:00,12
Universal Studios Singapore,2023-11-08 11:45:00,13
Universal Studios Singapore,2023-11-08 11:50:00,13
Universal Studios Singapore,2023-11-08 11:55:00,13
Universal Studios Singapore,2023-11-08 12:00:00,13
Universal Studios Singapore,2023-11-08 12:05:00,14
Universal Studios Singapore,2023-11-08 12:10:00,14
Universal Studios Singapore,2023-11-08 12:15:00,15
Universal Studios Singapore,2023-11-08 12:20:00,15
Universal Studios Singapore,2023-11-08 12:25:00,16
Universal Studios Singapore,2023-11-08 12:30:00,16
Universal Studios Singapore,2023-11-08 12:35:00,15
Universal Studios Singapore,2023-11-08 12:40:00,16
Universal Studios Singapore,2023-11-08 12:45:00,16
Universal Studios Singapore,2023-11-08 12:50:00,16
Universal Studios Singapore,2023-11-08 12:55:00,16
Universal Studios Singapore,2023-11-08 13:00:00,16
Universal Studios Singapore,2023-11-08 13:05:00,15
Universal Studios Singapore,2023-11-08 13:10:00,15
Universal Studios Singapore,2023-11-08 13:15:00,15
Universal Studios Singapore,2023-11-08 13:20:00,13
Universal Studios Singapore,2023-11-08 13:25:00,12
Universal Studios Singapore,2023-11-08 13:30:00,12
Universal Studios Singapore,2023-11-08 13:35:00,12
Universal Studios Singapore,2023-11-08 13:40:00,12
Universal Studios Singapore,2023-11-08 13:45:00,12
Universal Studios Singapore,2023-11-08 13:50:00,12
Universal Studios Singapore,2023-11-08 13:55:00,12
Universal Studios Singapore,2023-11-08 14:00:00,13
Universal Studios Singapore,2023-11-08 14:05:00,14
Universal Studios Singapore,2023-11-08 14:10:00,14
Universal Studios Singapore,2023-11-08 14:15:00,13
Universal Studios Singapore,2023-11-08 14:20:00,13
Universal Studios Singapore,2023-11-08 14:25:00,12
Universal Studios Singapore,2023-11-08 14:30:00,12
Universal Studios Singapore,2023-11-08 14:35:00,13
Universal Studios Singapore,2023-11-08 14:40:00,13
Universal Studios Singapore,2023-11-08 14:45:00,13
Universal Studios Singapore,2023-11-08 14:50:00,12
Universal Studios Singapore,2023-11-08 14:55:00,12
Universal Studios Singapore,2023-11-08 15:00:00,12
Universal Studios Singapore,2023-11-08 15:05:00,11
Universal Studios Singapore,2023-11-08 15:10:00,11
Universal Studios Singapore,2023-11-08 15:15:00,12
Universal Studios Singapore,2023-11-08 15:20:00,12
Universal Studios Singapore,2023-11-08 15:25:00,12
Universal Studios Singapore,2023-11-08 15:30:00,11
Universal Studios Singapore,2023-11-08 15:35:00,12
Universal Studios Singapore,2023-11-08 15:40:00,12
Universal Studios Singapore,2023-11-08 15:45:00,12
Universal Studios Singapore,2023-11-08 15:50:00,12
Universal Studios Singapore,2023-11-08 15:55:00,12
Universal Studios Singapore,2023-11-08 16:00:00,11
Universal Studios Singapore,2023-11-08 16:05:00,10
Universal Studios Singapore,2023-11-08 16:10:00,10
Universal Studios Singapore,2023-11-08 16:15:00,10
Universal Studios Singapore,2023-11-08 16:20:00,10
Universal Studios Singapore,2023-11-08 16:25:00,10
Universal Studios Singapore,2023-11-08 16:30:00,11
Universal Studios Singapore,2023-11-08 16:35:00,11
Universal Studios Singapore,2023-11-08 16:40:00,11
Universal Studios Singapore,2023-11-08 16:45:00,11
Universal Studios Singapore,2023-11-08 16:50:00,11
Universal Studios Singapore,2023-11-08 16:55:00,11
Universal Studios Singapore,2023-11-08 17:00:00,11
Universal Studios Singapore,2023-11-08 17:05:00,11
Universal Studios Singapore,2023-11-08 17:10:00,11
Universal Studios Singapore,2023-11-08 17:15:00,11
Universal Studios Singapore,2023-11-08 17:20:00,9
Universal Studios Singapore,2023-11-08 17:25:00,9
Universal Studios Singapore,2023-11-08 17:30:00,9
Universal Studios Singapore,2023-11-08 17:35:00,9
Universal Studios Singapore,2023-11-08 17:40:00,9
Universal Studios Singapore,2023-11-08 17:45:00,9
Universal Studios Singapore,2023-11-08 17:50:00,9
Universal Studios Singapore,2023-11-08 17:55:00,9
Universal Studios Singapore,2023-11-09 11:00:00,7
