Park,Date/Time,Wait Time
Universal Studios Singapore,2023-12-02 17:25:00,10
Universal Studios Singapore,2023-12-02 17:30:00,10
Universal Studios Singapore,2023-12-02 17:35:00,10
Universal Studios Singapore,2023-12-02 17:40:00,10
Universal Studios Singapore,2023-12-02 17:45:00,10
Universal Studios Singapore,2023-12-02 17:50:00,10
Universal Studios Singapore,2023-12-02 17:55:00,12
Universal Studios Singapore,2023-12-02 18:00:00,10
Universal Studios Singapore,2023-12-02 18:05:00,10
Universal Studios Singapore,2023-12-02 18:10:00,11
Universal Studios Singapore,2023-12-02 18:15:00,11
Universal Studios Singapore,2023-12-02 18:20:00,11
Universal Studios Singapore,2023-12-02 18:25:00,10
Universal Studios Singapore,2023-12-02 18:30:00,10
Universal Studios Singapore,2023-12-02 18:35:00,10
Universal Studios Singapore,2023-12-02 18:40:00,10
Universal Studios Singapore,2023-12-02 18:45:00,10
Universal Studios Singapore,2023-12-02 18:50:00,10
Universal Studios Singapore,2023-12-02 18:55:00,10
Universal Studios Singapore,2023-12-02 19:00:00,10
Universal Studios Singapore,2023-12-02 19:05:00,10
Universal Studios Singapore,2023-12-02 19:10:00,10
Universal Studios Singapore,2023-12-02 19:15:00,9
Universal Studios Singapore,2023-12-02 19:20:00,9
Universal Studios Singapore,2023-12-02 19:25:00,9
Universal Studios Singapore,2023-12-02 19:30:00,9
Universal Studios Singapore,2023-12-02 19:35:00,9
Universal Studios Singapore,2023-12-02 19:40:00,9
Universal Studios Singapore,2023-12-02 19:45:00,8
Universal Studios Singapore,2023-12-02 19:50:00,8
Universal Studios Singapore,2023-12-02 19:55:00,8
Universal Studios Singapore,2023-12-03 10:00:00,7
Universal Studios Singapore,2023-12-03 10:05:00,7
Universal Studios Singapore,2023-12-03 10:10:00,7
Universal Studios Singapore,2023-12-03 10:15:00,7
Universal Studios Singapore,2023-12-03 10:20:00,7
Universal Studios Singapore,2023-12-03 10:25:00,8
